Sample,neg_H_1_4,neg_H_2_0,neg_H_3_1,neg_H_3_2,neg_H_4_0,neg_H_4_3,neg_H_5_1,neg_H_5_2,neg_H_5_3,neg_H_5_4,neg_C_6_0,neg_C_6_2,neg_C_6_3,neg_C_7_0,neg_C_7_2,neg_C_7_3,neg_C_7_4,neg_C_8_0,neg_C_8_2,neg_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_1000_neg,699819.907406,361785.627562,458218.380098,585252.296874,561451.103742,578049.330884,579522.257543,369894.080213,1929108.11345,486740.792741,641049.16534,704259.882797,499090.191253,611996.410721,480137.154111,515574.493594,569136.756374,577210.328577,727144.009874,594359.402904
Com_10010_neg,2069.47740927,7938.60038986,20749.1395943,3092.97033311,3409.36979042,30267.384005,3024.17826025,3088.91752422,3665.71625606,23887.6063621,4679.51761638,10982.5008934,17219.7068773,17332.0318378,25058.0348731,18693.4681402,46682.1042506,5449.6538857,2816.57330339,6541.45026391
Com_10035_neg,28394.9235607,8192.57852501,12018.0602909,12382.124931,16745.0582235,10795.8842432,23585.9206573,19113.8232666,45431.2272771,6130.59076777,17747.8705752,20215.5505269,15695.951188,19939.4641454,25929.4896287,13292.9492925,10981.0713055,17480.4092611,21261.8591537,18973.7509914
Com_10043_neg,21692.0976467,19354.8334385,34662.2131251,30554.7685811,44675.402851,37553.4970396,47818.2957174,24095.4089964,29145.8472041,16285.3468397,26682.5190074,24293.5202925,25931.977562,40496.2406718,38508.3532843,32794.0193073,22249.4448413,41824.4645229,49236.7800253,38430.8933938
Com_10051_neg,19511.2249268,9447.4035249,16843.5979129,15244.0101384,19076.17221,16198.7338264,28282.8222623,35775.813624,28385.2950518,15518.2024027,43486.9171108,38517.6963858,31716.7610547,31584.3485341,19150.7133843,21168.6545701,13011.4647938,14560.0134974,21664.0017762,21982.9339651
Com_10069_neg,11080.4285616,13288.4909289,10705.5915498,14474.7346767,9931.63156955,29977.7368817,21301.5199903,6393.16340435,15554.1373493,32604.2780028,11062.6131124,7405.6771751,14033.5083652,26486.3511172,12854.8062134,22076.0449106,45902.6649725,11904.8481065,20495.7962636,20084.6829105
Com_10073_neg,16442.1175451,27894.2371175,27335.4858496,32662.4883331,38343.8557002,35422.3099623,47477.8788096,16710.9239015,29241.2733254,35778.6106113,19685.395979,23193.4653235,26433.1449009,39538.050587,46192.4725151,34175.494558,31194.162526,31731.6990497,33757.0246845,33249.3789115
Com_10076_neg,8756.02725395,3520.44706862,6220.58312406,5545.73497993,7838.62683532,2557.16945027,11262.1706579,1678.11614707,44973.3425744,3606.04676845,2574.69231289,17634.5390348,4725.72183695,14839.1425434,9623.45753963,4770.65336212,2317.3929233,10237.9078482,4356.9014838,21646.1872831
Com_10078_neg,8601.87271613,7590.23827191,10892.5946598,8332.71627971,10175.2396898,21714.137647,9411.52196344,8866.88467008,8076.20329183,32272.6471658,8540.02105255,9490.37935456,8484.11140031,32904.0342328,16293.2081735,16019.3294341,45843.207524,9842.46217141,10505.8394528,14065.7497098
Com_1007_neg,1128039.35668,644673.901226,1137336.94245,1165714.65403,1043130.37965,931431.580679,1054128.22763,767429.986633,1295025.26549,743857.516875,1544432.1791,1893197.87972,1213287.21197,1312419.19118,874514.338839,624044.395502,709276.106612,1327349.8017,1401215.25501,1054145.23032
Com_10087_neg,14585.6683726,28728.9012548,8692.97801288,21946.7671561,20212.9558261,34180.6655368,36478.6461252,10025.1670662,24899.106114,42125.0516611,15282.8013691,9691.00026134,12797.8204653,25551.4959074,32311.0757579,28194.0857605,24445.7420088,26520.3270238,28293.3406892,21248.3215371
Com_10106_neg,12699.7134031,11061.1202381,39867.1536399,36625.6576319,8665.66844269,33421.7109912,16009.1214181,5399.00538417,18751.9868971,22309.2995008,16639.5356582,11464.5508763,17544.9185016,16204.1230641,31714.5072061,24725.8901959,45541.1632511,20475.3567021,21794.2901579,20273.78109
Com_1011_neg,1747210.02046,308315.430332,693384.520231,412206.019857,1144830.8961,539861.251979,612715.541001,675103.807162,1898557.30406,437407.431649,796790.092275,889522.068301,648224.562829,876468.064171,597065.139491,405867.379162,530269.252412,1176404.22415,910345.667775,728014.616252
Com_10120_neg,21085.2388078,24941.7245537,38278.2439545,37855.6577244,47429.9071669,25372.2552815,46921.008888,30321.0944006,26722.2278279,21947.7824498,22418.2411948,23240.7105947,22742.7680999,40990.5740582,31829.1365279,15205.5664782,31974.8671154,44701.4166257,38203.2281707,37386.7239697
Com_10128_neg,15130.9651925,13379.4367121,2421.86347671,5954.82340929,9849.6857827,30902.0566295,46817.6823097,23425.5324943,8155.6379318,2144.84674535,15513.9914034,5896.5807061,5703.14507377,7062.33777395,4222.48496598,1524.93706841,2015.63013835,29844.9229601,38579.2649471,18966.7619279
Com_10148_neg,21885.6666905,18086.4114079,22736.2837031,17643.5667201,20128.3109273,15776.149775,32448.6000889,18008.9857266,23833.3787924,14133.886362,33796.3680395,28079.9126145,26388.9764889,22476.5581448,46874.1238148,35725.8819222,19760.2021185,22029.2066004,20846.6548579,40663.2900122
Com_1015_neg,12208.1472482,1520413.36999,150226.654016,96379.0720763,69727.1352305,224430.642562,137587.68942,66663.1689444,70684.5774948,117821.561071,76040.8774446,112353.790308,118194.371413,22692.2882069,242847.80533,78635.0283403,280389.915605,144571.974628,72859.4968775,91696.1480379
Com_10162_neg,14988.5840132,17229.7552711,14153.6137784,38159.0870349,45920.8653954,50475.5370416,25603.8224293,14093.3140563,28756.5326292,11921.3600186,11569.574613,8997.10380387,16758.5901543,19008.6758186,21552.9991062,16172.0217963,24055.0469069,29419.0915772,36060.7088985,27504.7411918
Com_10169_neg,26809.5358627,25494.7437787,35497.0720892,25381.158554,37827.048197,48948.4461375,39067.2796349,27636.4261097,42688.5744975,32117.3333111,30799.2943071,31030.60058,25749.6553425,40473.4840088,36379.2775627,24925.3632679,34399.2769197,46987.5574201,41765.9531024,34613.8015098
Com_1016_neg,455455.702278,328523.577613,357782.007474,403155.829296,780280.070523,23454.6132236,1989260.1568,322688.411186,1367643.66332,166183.520008,325403.490003,481394.42575,336448.239864,53611.3870884,148792.028948,287286.638455,94362.001332,93330.3225919,47516.9545126,41222.3451173
Com_10182_neg,43418.8582208,25228.4486502,33240.2886455,27874.544435,28832.5078121,45200.8104101,32083.8254267,28754.064751,38421.2738833,21447.2715769,22153.1520457,29492.7704988,31899.0837332,49806.1462044,44881.152729,20876.2138666,32235.9246689,40968.0639616,39619.213049,44881.7275828
Com_10189_neg,21057.7596183,24396.1138035,31094.5629424,19333.9167014,42340.0182795,36621.6540778,43410.0316433,23009.7623614,43624.1724006,32788.6294387,25933.3366869,24476.5153799,29970.1190806,36889.7208695,23839.767688,28029.3945653,32748.0293352,43150.437734,46936.7420878,44601.2063461
Com_10190_neg,28202.9244115,16583.2472183,24614.629134,19071.2951934,35647.2665542,41669.4382591,35158.7587362,24496.9629793,41230.7911495,18070.1417628,26481.365776,23744.8175959,20620.5872649,31203.4036421,47106.2829397,31919.1735306,17552.162003,31488.0128419,49046.175983,43399.2369304
Com_10195_neg,14741.9404541,29257.861047,18925.4250572,11744.5821659,22338.0446228,50146.1824785,41073.9264783,13065.8126943,25521.2021045,15942.2611718,12473.0871242,18069.7562007,16569.6416933,18156.4193833,23948.5733838,19244.566292,18248.3122352,27644.2275478,46551.4099362,31650.6362266
Com_10199_neg,36909.457518,12009.8089942,20017.9543568,17691.0528935,20552.927676,28225.0405209,24832.6704322,23153.7689144,43506.8452426,12758.7833517,21701.3294211,27453.2537533,14240.3202289,29662.7228295,9665.70269966,9144.06821032,15670.5489444,26077.0507492,26170.9375203,24549.7616538
Com_10237_neg,23386.5145535,34677.830093,10774.876585,5779.25442041,22330.7573596,11181.1308407,37570.9744814,12850.1284353,24879.7714287,8840.90656553,14213.1542353,16137.2387437,16381.8827619,41315.8102994,17373.1654515,10610.211065,9350.60722785,21638.6053756,25276.9460121,17520.1403459
Com_10244_neg,26357.9202787,33498.3844298,34367.8790161,22533.5234778,30764.9812177,44148.4169828,25384.8736944,9885.18311586,39021.2142958,10091.4427793,28892.4115441,20373.5287302,20781.6415112,25354.3685127,41940.9516068,19205.8745185,15741.1589868,38617.2857159,48312.5878271,33212.6989261
Com_10245_neg,3455.35706271,3713.36838337,2801.98788619,2905.48655247,48131.8988622,3229.78166672,4451.32826542,36340.5981479,3388.55503692,2930.42550233,15010.9723247,13340.5336093,3157.38857774,5290.07127171,6365.94599731,2606.02840705,3875.77434541,4740.86642427,3975.55053764,3306.92427854
Com_10248_neg,13471.747665,27474.1284342,24696.8363829,27353.4461875,22271.055846,40172.1647548,22622.2140875,12349.0852648,31969.7387335,34035.599391,16687.8460515,19168.8589294,17479.911389,48331.1848133,41733.9843079,34782.2020297,41069.251622,34085.5029227,45553.2045277,32465.052662
Com_1024_neg,355515.52763,353774.538087,327369.062341,289363.668227,488788.767791,548504.449428,389710.170171,294275.986077,379254.34608,1742786.54962,662787.628832,832167.130712,647918.101457,723209.031732,533606.882098,992537.46787,1091831.12944,331733.373783,446885.278735,562611.401212
Com_10256_neg,25604.4657305,22837.7879772,35997.6530969,20571.3018005,43624.0637577,32709.9834863,24582.5868484,18839.2551084,21550.597568,27286.9156307,41161.2890264,33948.271765,33878.8885302,45169.8617634,41976.7530422,11426.808497,28128.8215444,44867.4019016,32765.2926407,23164.7717033
Com_10266_neg,20241.5080131,34021.691929,35409.6816148,34404.7484436,47807.0725275,34407.9414293,33065.6800119,18758.0536917,38642.0588226,24794.0313062,24109.0104583,27215.1473224,20689.1018846,40465.5449852,27333.5890553,30384.7903192,38053.7860282,24073.5787186,35048.7911208,28529.4538095
Com_10269_neg,39992.0701883,4533.87679711,3193.95754761,2762.68854977,3295.19167764,3621.7271912,3802.80338095,14165.7677882,3777.11645562,3233.63573538,3083.34109246,3318.44223559,3258.76968868,27234.3829419,47525.3788888,15290.9720229,3243.79579706,3579.10918027,4714.98918638,3720.53255393
Com_1027_neg,641831.12737,594662.009817,319694.145461,77478.6656167,673174.654187,1097358.25554,1406446.23521,527813.361615,1415769.52728,396268.668588,236043.307718,233933.545916,336685.440172,739807.16255,922030.96666,611823.523956,715230.063616,1574784.04614,2078955.27812,869098.219151
Com_10285_neg,902.883430012,15222.0778623,4540.40347233,12916.6624908,14050.2633002,2260.07609323,949.819100598,1550.16833347,1056.3814774,5627.81492933,1385.52683331,3680.78934878,2833.63061228,7420.82054322,47284.0228053,5220.72403151,17776.3328898,4507.58810984,2348.00917838,2011.90474475
Com_10290_neg,22252.9504092,20342.3625343,39901.6493425,32130.2258262,19204.2466859,31392.0843301,42608.4922052,14571.6418289,17416.6760671,39769.7054587,11970.3477033,22619.5947467,21500.206885,40376.8257916,20399.1688305,22877.1516527,22346.8919266,22747.3839316,25178.6316925,30969.2443346
Com_10298_neg,12282.2978147,34012.3759534,6972.59455181,5171.39836025,8726.97856358,8162.49420076,25407.3901788,9881.72062892,32155.8329693,6455.05860072,13534.0267854,18748.1064362,7644.89837344,16099.2958089,12286.0895909,8949.74800316,8636.95842864,10955.5392611,12554.432591,11521.2448642
