m.z	p.value	t.score
135.05444	4.330035289787612e-5	98
368.29236	4.871289701011063e-4	93
386.30321	4.871289701011063e-4	93
812.4579	7.252809110394249e-4	8
217.10611	7.252809110394249e-4	92
305.13743	0.001050033557773496	91
133.03746	0.001050033557773496	91
259.15282	0.001050033557773496	91
196.08478	0.001050033557773496	91
410.31838	0.0015046872632011952	90
192.10094	0.0015046872632011952	90
235.12065	0.0015046872632011952	90
110.03673	0.0015046872632011952	90
282.21919	0.0015046872632011952	90
384.20483	0.0015046872632011952	10
124.01917	0.0020892420273225226	89
436.28235	0.0020892420273225226	89
358.11139	0.0020892420273225226	89
329.15869	0.0020892420273225226	89
369.32416	0.0020892420273225226	89
474.37053	0.002879473467708762	88
294.15776	0.002879473467708762	88
201.13649	0.002879473467708762	88
175.04799	0.002879473467708762	88
188.14115	0.002879473467708762	88
428.26976	0.002879473467708762	12
306.20412	0.003886206672584382	87
325.10072	0.003886206672584382	87
408.43542	0.003886206672584382	13
357.26275	0.003886206672584382	87
276.09955	0.003886206672584382	87
90.03166	0.0051960423477451344	86
590.31239	0.0051960423477451344	14
216.14726	0.0051960423477451344	86
236.11588	0.0051960423477451344	86
170.09424	0.0051960423477451344	86
942.524	0.0051960423477451344	14
436.09895	0.006841455757864427	85
890.73509	0.006841455757864427	85
264.14713	0.006841455757864427	85
160.10994	0.006841455757864427	85
506.28316	0.006841455757864427	15
385.31889	0.006841455757864427	85
940.50441	0.00893069778518695	16
386.28233	0.00893069778518695	84
333.17219	0.00893069778518695	84
530.39695	0.00893069778518695	84
88.05238	0.00893069778518695	84
262.1348	0.00893069778518695	84
117.05778	0.00893069778518695	84
288.09713	0.00893069778518695	16
276.17232	0.00893069778518695	84
422.15426	0.011496243694386109	83
99.0684	0.011496243694386109	83
150.05274	0.011496243694386109	83
144.11496	0.011496243694386109	83
154.02658	0.011496243694386109	83
287.14803	0.011496243694386109	83
274.13148	0.011496243694386109	83
249.13618	0.011496243694386109	83
388.24575	0.014689644720604474	18
440.32876	0.014689644720604474	82
159.08953	0.014689644720604474	82
528.38084	0.014689644720604474	82
450.27885	0.014689644720604474	18
110.04794	0.014689644720604474	82
456.35977	0.014689644720604474	82
175.04807	0.014689644720604474	82
210.07382	0.014689644720604474	82
314.15908	0.014689644720604474	82
258.11014	0.014689644720604474	82
345.18989	0.014689644720604474	82
207.16222	0.014689644720604474	82
276.24525	0.014689644720604474	82
172.08474	0.01854337612851545	81
149.04761	0.01854337612851545	81
310.17768	0.01854337612851545	19
956.50154	0.01854337612851545	19
174.08914	0.01854337612851545	81
436.25878	0.01854337612851545	81
190.0953	0.01854337612851545	81
263.15184	0.01854337612851545	81
376.29743	0.01854337612851545	81
176.10477	0.01854337612851545	81
322.01237	0.01854337612851545	81
140.05854	0.01854337612851545	81
124.0524	0.01854337612851545	81
372.30277	0.01854337612851545	81
648.38921	0.023230639329710537	20
551.39273	0.023230639329710537	80
350.18414	0.023230639329710537	80
374.13299	0.023230639329710537	80
400.22585	0.023230639329710537	20
281.15257	0.023230639329710537	20
211.12075	0.023230639329710537	80
192.06336	0.023230639329710537	80
172.10992	0.023230639329710537	80
178.08406	0.023230639329710537	80
130.09931	0.023230639329710537	80
422.08241	0.023230639329710537	80
208.09459	0.023230639329710537	80
374.28363	0.023230639329710537	80
382.21208	0.023230639329710537	80
432.32376	0.023230639329710537	20
221.06866	0.023230639329710537	80
294.12141	0.023230639329710537	80
960.49203	0.023230639329710537	20
594.20182	0.023230639329710537	80
928.50599	0.028805559765312086	21
133.0376	0.028805559765312086	79
98.07314	0.028805559765312086	79
274.14149	0.028805559765312086	79
154.00313	0.028805559765312086	79
320.10218	0.028805559765312086	79
144.05743	0.028805559765312086	79
262.04503	0.028805559765312086	79
430.32301	0.028805559765312086	79
412.24542	0.028805559765312086	21
167.05821	0.028805559765312086	79
173.10519	0.028805559765312086	79
246.18286	0.028805559765312086	79
128.01095	0.028805559765312086	79
189.04256	0.035462989023360536	22
370.23638	0.035462989023360536	22
230.16287	0.035462989023360536	78
233.08976	0.035462989023360536	78
504.34468	0.035462989023360536	22
112.08873	0.035462989023360536	78
260.13695	0.035462989023360536	78
188.1412	0.035462989023360536	78
174.06384	0.035462989023360536	78
298.12021	0.035462989023360536	78
252.11461	0.035462989023360536	78
82.04182	0.035462989023360536	78
387.13322	0.035462989023360536	78
81.98191	0.035462989023360536	78
232.13099	0.035462989023360536	78
244.08704	0.035462989023360536	78
760.29921	0.035462989023360536	22
406.41566	0.035462989023360536	22
168.11495	0.04325705254497823	23
574.36567	0.04325705254497823	77
244.18317	0.04325705254497823	77
490.29095	0.04325705254497823	23
182.09247	0.04325705254497823	77
116.08369	0.04325705254497823	77
280.23973	0.04325705254497823	77
346.28707000000003	0.04325705254497823	77
190.06288	0.04325705254497823	77
