Sample,pos_H_1_4,pos_H_2_0,pos_H_3_1,pos_H_3_2,pos_H_4_0,pos_H_4_3,pos_H_5_1,pos_H_5_2,pos_H_5_3,pos_H_5_4,pos_C_6_0,pos_C_6_2,pos_C_6_3,pos_C_7_0,pos_C_7_2,pos_C_7_3,pos_C_7_4,pos_C_8_0,pos_C_8_2,pos_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_10034_pos,344110.463771,35757.4755168,21168.8657268,26650.7460941,68015.4753717,22352.0707287,37217.5894912,18880.7289631,22470.0383727,19495.1855225,19428.3370702,17509.0462268,19907.9080144,20705.7116518,22100.0307353,21275.2162655,18519.6034055,64249.0605585,71199.1765815,23635.344631
Com_10039_pos,158850.657614,221244.957293,216927.449965,351647.616944,226909.052958,259097.522879,240320.055508,162314.857363,219170.482704,211104.43661,287620.355441,175923.168129,155811.972902,194935.054047,315133.181518,168726.995951,236716.914054,177359.445792,244392.569765,176912.161082
Com_10045_pos,152434.325689,258061.116267,307378.294836,325945.980352,145143.419719,222070.080226,152157.755865,149950.760566,202154.400098,289242.876389,228718.974236,315859.096239,285141.944014,218080.428011,252049.332915,264556.709866,260793.363122,244559.285725,186933.869684,241737.025424
Com_10088_pos,32334.1734592,317564.590049,86375.1589707,42171.0976682,35373.1237607,58980.8941665,49580.8142706,33149.5293574,41279.942824,63530.0547313,48681.9114096,28330.9573939,44480.1174415,24368.091386,62816.6820713,37739.1017432,54787.6956931,51962.8188795,51359.9874312,61760.3474659
Com_10090_pos,64956.2948442,72268.4213767,189249.621539,229807.248656,103228.268299,271050.170962,41142.5600502,86583.376322,115846.860999,207266.361205,136640.707086,93389.1353051,140719.566803,258029.208012,210063.159681,207529.014569,306622.672679,365990.032076,221989.972251,216035.936113
Com_10098_pos,160701.594127,89885.666479,160068.824253,136299.55454,199270.486071,141833.618667,145065.401448,164567.196815,312217.840192,81084.8411863,159262.264769,157425.586537,136690.341601,170391.865066,253715.453541,91099.9814484,126710.54462,155454.895788,98263.752389,57661.3650937
Com_10109_pos,255466.873623,277728.429368,285404.142076,237197.266095,314976.781439,328759.924196,163244.515935,169273.179656,292053.611531,376901.128332,203410.878401,166920.083706,203044.571172,304920.998779,321807.393023,247528.659109,352174.842178,341441.817607,335948.531238,274146.577353
Com_10111_pos,339064.45535,146715.389387,100161.092409,94102.7528126,142662.115253,103202.221426,70817.1555739,65124.4654726,113099.185306,87734.2210848,75607.2089851,70964.5559508,104848.598403,112120.08022,151862.199661,106796.747856,140364.742943,73055.9998931,86863.7936105,90990.5356047
Com_10114_pos,232303.590594,211454.888722,257290.830544,284624.151461,200734.53758,325211.499487,205079.064192,241118.251951,311074.62984,258241.964052,219261.97462,240552.213768,265595.546884,195084.863425,307602.634896,278665.639036,169603.198362,340264.839665,263281.561465,253824.88529
Com_10124_pos,25974.8004366,30590.3096337,17927.5302499,22634.5830229,380231.472139,23908.9516814,23399.7100552,62304.7503184,22711.0934611,24991.1347235,43955.6619675,32319.5892346,21138.4081185,21498.1916073,27955.8320442,22112.4597229,14400.7808755,22671.9874347,22003.6754667,18851.7728453
Com_10129_pos,158629.465057,212835.288539,360563.434017,175752.040317,117387.037051,199608.221168,183679.239385,223514.484628,151834.809312,288742.335582,190794.923024,269906.125441,271779.261079,102288.68341,325357.978067,257970.0629,317901.378708,225284.620939,217831.904416,168483.960587
Com_1012_pos,1973957.25953,3448551.77521,2097113.77876,1799826.1551,2523578.0384,3092495.17564,7559182.81939,4266705.98821,3336239.71463,3878208.32365,7620020.16966,3999168.28155,1696351.31187,2507709.02982,3182707.713,2188471.84805,3303240.07674,4888101.94527,3469079.75306,4135071.39411
Com_10132_pos,125907.720237,314419.52603,221297.119039,95432.0351775,122517.26107,177685.823693,235082.160735,68331.4529299,207686.86355,223690.750963,104057.776352,148434.945609,37352.1882432,170089.448817,253872.814231,146374.336686,241934.2897,271771.801575,249377.883044,191126.677516
Com_10143_pos,155410.769578,68680.3068247,98041.3565907,77034.3268122,150169.823615,146429.149402,121048.039759,62853.708824,309143.068571,60761.086838,91414.3688954,81604.682378,84590.2969913,71619.3534885,80455.6267326,66739.7225245,94497.6008404,187491.925119,182558.435187,169588.120674
Com_1014_pos,8370199.64207,6751928.43623,5712237.46962,4312229.41832,5304518.93637,7554536.81523,5398909.27158,3100591.83201,7557772.36495,7173578.72597,3853269.02435,5653375.18008,4724357.81423,7818374.42145,4577443.40134,4878974.34053,7269339.5464,5473816.86559,6911655.49639,7409502.33701
Com_10164_pos,335858.000848,56914.4682618,58484.3009487,48200.9228598,138151.783889,67698.530836,70061.7917837,77224.1858454,168912.761243,65533.3296926,62686.9407286,114062.742343,68501.0767086,81537.8228617,111960.742795,57130.7053033,58973.149223,96596.0882623,75156.8356886,80362.7906028
Com_10167_pos,87280.2934808,28342.7200802,69315.3136285,47055.7864383,170923.140904,103479.563371,81958.4851631,84790.7102244,102223.637017,119158.12956,136586.683641,308879.497524,260604.43207,87322.0166178,125630.406536,282713.771475,128930.570313,111152.133082,117986.496723,121929.240596
Com_10169_pos,129654.848037,12747.0087364,15199.1682732,13433.5413068,17813.384188,15238.5217124,21514.5632198,13779.3398697,308281.135679,15330.4152089,21019.0673933,14981.4352962,15753.1034046,17451.8879161,24847.7193678,16745.488676,23370.8567901,24502.5619647,20519.9951176,28867.8603502
Com_10173_pos,117392.116165,58246.8449478,91100.7379453,85262.5128375,95450.9501831,78801.8289652,59127.4576613,67504.2776252,94227.3361418,53248.2822805,340214.810354,80748.2315384,86193.7901187,92161.6024209,111997.635775,105896.799223,62302.7577212,89130.4408202,105737.280834,78902.8685793
Com_10184_pos,44846.1920967,238277.591986,107268.190069,153224.21658,122611.403244,354607.55321,108583.37775,24872.6751799,27628.3794685,158951.693098,61516.44748,89538.3562034,42870.5031434,152364.474725,144260.224781,46323.4597789,78408.3985902,296435.188902,294097.400165,319116.488887
Com_1019_pos,152853.873295,7750529.94693,1802481.5327,1045942.1179,247330.172323,1140864.63658,142032.530877,351449.638775,97509.8927641,536028.638329,530421.198108,519354.823758,513237.175572,74140.8136777,481312.065083,137863.287635,512906.529264,498924.450821,343521.660285,533196.50033
Com_10204_pos,114358.935035,311123.365656,171786.938842,150056.100815,192832.604979,256206.339127,122291.009065,79544.0774378,122217.512342,252352.691583,172275.203209,126740.347658,130476.673881,183829.22856,168177.542571,51454.5491195,180194.854855,191562.969665,196630.195937,132409.687742
Com_10210_pos,65458.5769024,265379.551494,263686.190946,57891.6546382,187227.721828,353408.100539,152740.928889,118689.926632,69950.8636081,361031.402614,205714.829713,152405.20268,166248.701437,197720.983601,212969.630805,6749.87066584,344958.661299,277484.093586,73652.2603444,87321.5698657
Com_10219_pos,199938.42739,89708.5952276,113058.9292,86555.9966765,184114.816809,120773.868232,154313.781745,281710.569399,247887.945417,160214.504965,337922.703638,152364.137621,94278.6553886,158007.205039,150500.174237,203950.938484,128909.264635,175766.709499,159938.97339,120835.54218
Com_1022_pos,4170920.83506,5631902.18079,6768878.83026,7373048.59215,5365719.12252,6143497.09646,5437135.42394,5321537.37371,3909997.27848,8450851.98117,4725662.174,4453926.1876,6351669.70336,4166149.17721,8916795.88269,6355079.57722,4951712.78784,6226448.01368,5546241.46068,9064528.40959
Com_10241_pos,331827.886018,143261.114364,139467.898549,143432.628359,228064.087598,94047.2171735,216266.695597,158484.57333,282671.40319,23974.4241305,239041.20019,247848.717428,136954.856758,182396.369099,214094.964073,102154.819748,45540.2976073,183258.510941,225308.629729,187169.877491
Com_10243_pos,177316.547049,184178.551586,306659.499244,287395.965129,229008.624789,351176.233977,247770.480677,137607.651077,129305.216771,333530.618865,177230.710591,169187.825373,130780.986736,214516.894078,339054.951257,213481.607264,351095.61059,231464.521857,261629.547404,244768.190771
Com_10271_pos,9301.23329947,8146.5087491,9526.53560329,8227.82663328,12298.1088896,10350.9629644,20454.7017828,312267.301595,17059.2955323,11148.4787926,15094.286821,8826.07966744,9174.50901182,9715.91244205,11698.4026187,12021.3164103,10554.9312533,16170.8760158,9975.65642287,11034.8502076
Com_1028_pos,1588745.52877,1788821.19431,2576401.35025,8465069.40407,725915.737632,2944638.76627,891900.276536,4942668.47927,1702275.8378,3855931.82862,2459193.29866,6166424.3479,2271228.60201,2312981.45416,2979921.74789,1869109.07745,3566188.26396,3125812.54501,2991324.12075,2442752.92103
Com_10296_pos,48938.8267446,24239.1592848,40405.7825066,27038.7390546,120450.603951,31308.2070811,44576.8233686,69105.0818793,107180.022787,38910.9999842,104434.77724,302163.583276,171867.053754,52403.7839837,74022.0018069,106945.698136,30391.0354939,31463.2103752,35276.0395257,36094.8190571
Com_10299_pos,135017.221254,89112.3087487,95612.000619,96087.0580692,115536.702715,153877.452799,102373.270037,46274.2960289,149046.238741,158387.383221,66865.0813872,84893.9013528,42906.647734,87294.003991,102791.288227,154656.992797,352618.984824,134718.190657,127404.541632,99101.3390598
Com_102_pos,85852797.3411,26493205.7953,24973430.1532,28352358.4268,46100531.2844,134969616.985,117452948.282,50709809.6332,33373570.9564,11763466.0764,34983122.5137,16926193.0863,58962057.1215,31616976.3327,46403245.0148,28877154.3559,37304516.4637,59336365.2825,92668564.0511,77281145.6721
Com_10300_pos,55103.2476306,51379.7753558,166160.304799,47605.7092788,369263.052371,24937.1159341,24575.9052366,73411.7395306,42670.100574,320125.701905,55076.0017708,56191.5149099,58600.4614177,37776.7376646,32002.260453,28766.3798277,108430.952294,39080.4529288,33368.7606589,25572.7564063
Com_1030_pos,538749.285447,185764.995112,806091.079664,278366.451157,628422.513925,624628.499111,450866.726316,491111.578589,283014.393308,1608189.95855,788327.373932,1058790.6521,978998.985972,1902047.67404,1586764.81668,1999572.85805,8851341.01908,689867.62733,812917.339322,418832.868069
Com_10310_pos,221096.19401,279241.396212,191599.853239,175601.08117,268608.332441,292911.119244,272734.647081,164665.609975,268698.388632,326641.63596,311078.180031,209476.936843,160874.593249,227876.34623,351871.314677,240077.195152,281715.669053,299889.882216,277729.974211,303158.704255
Com_10312_pos,176831.79038,227218.910917,112402.303233,65351.0880229,368280.84445,69041.8158151,133434.7366,92651.6303142,174455.373958,47075.4694425,94319.0230651,159942.375084,38626.4510661,141673.347667,136763.171608,20431.1368696,20537.1653635,149523.994111,95013.9129631,189135.593871
Com_10314_pos,44517.252848,246002.532987,28185.3381058,21110.6474935,337909.579061,33824.1826491,41867.9311176,26164.1127746,58645.9401207,33280.2379078,70977.3023611,77013.4171886,100839.12411,51956.2159335,65654.1647429,69619.2315368,56493.2743613,81327.3085242,70793.4662143,368534.361293
Com_10328_pos,24622.2338658,37365.1047413,224702.772072,21934.4969596,23737.3970777,19427.9302633,155313.849549,109872.19482,20893.4309171,218312.031031,22398.1888081,19220.1233243,21773.9360426,65246.6534133,19330.5026063,302037.87553,33607.7648099,23847.3953497,16597.6559271,17258.3753987
Com_10333_pos,232530.797603,161403.309244,299178.28054,102181.601408,352865.608582,220765.442961,28409.150929,308280.856305,191928.366482,288493.648165,274112.554361,266294.006223,290915.015304,108549.830468,323662.293947,271535.787673,213350.582184,318407.502599,229391.761622,166938.011592
Com_1034_pos,2081797.57568,1803197.55262,1408959.79472,843737.206635,1572743.68536,582740.55732,7380991.69027,6958753.36961,1594764.1923,1238383.32182,1205373.7779,563807.913938,1715328.42441,1055827.32568,318680.558668,1390613.51697,317818.659236,790771.650631,1437962.39165,1775575.76745
Com_10354_pos,212767.143818,55709.2705178,82799.9696736,72090.986707,291933.866791,172167.793328,292906.677569,132006.485248,224802.278164,29976.1762284,207815.698073,111211.946618,108360.10469,129349.481991,137058.067658,81596.7012342,30053.9164769,181812.953732,188972.754763,126066.751459
Com_10374_pos,60308.8351601,137702.115705,232899.59643,162907.278559,88150.0612333,173417.264729,99132.4486543,59334.9567744,129722.416381,232527.25288,143886.714122,115486.136196,135026.230173,125769.152568,347495.552402,193753.392946,239114.933329,135910.655693,133858.282345,108583.440074
