# Constructed from biom file
#OTU ID	HA6.28	HA4.28	CR1.28	CR9.28	CR3.28	HA10.28	CR7.28	CR4.28	HA7.28	HA1.28	HA3.28	CR8.28	CR6.28	HA5.28	HA9.28	CR2.28	taxonomy
306528	8.0	5.0	0.0	0.0	3.0	4.0	0.0	0.0	3.0	2.0	15.0	2.0	0.0	12.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
3957916	4.0	16.0	6.0	20.0	42.0	4.0	0.0	28.0	48.0	28.0	5.0	39.0	3.0	15.0	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
183857	0.0	4.0	61.0	37.0	39.0	8.0	8.0	5.0	5.0	0.0	0.0	5.0	18.0	0.0	15.0	54.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4465907	141.0	737.0	6358.0	33764.0	13204.0	3884.0	7831.0	1855.0	1163.0	79.0	104.0	8320.0	1943.0	30.0	4720.0	3927.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
413695	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4306262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
349036	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
181348	41.0	15.0	0.0	0.0	7.0	14.0	17.0	2.0	7.0	1.0	12.0	2.0	0.0	8.0	21.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
1111328	30.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	28.0	32.0	2.0	0.0	15.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
42839	650.0	64.0	37.0	4.0	10.0	5.0	4.0	56.0	47.0	5.0	2.0	190.0	18.0	719.0	21.0	15.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
694337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1053321	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	105.0	3.0	2.0	0.0	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
4480529	0.0	0.0	134.0	3.0	1.0	0.0	3.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	203.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
4442508	2.0	0.0	0.0	1.0	0.0	4.0	6.0	1.0	8.0	3.0	1.0	0.0	88.0	2.0	28.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
17822	1.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
