Treatment	CR	CR	CR	CR	CR	CR	CR	CR	HA	HA	HA	HA	HA	HA	HA	HA
k__Archaea|p__Crenarchaeota	0.000000e+00	5.129784e-05	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.320642e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Actinobacteria	0.0014974597	0.0030778701	0.0022270940	0.0014306628	0.0006199967	0.0090622401	0.0035015149	0.0013457656	0.0126970553	0.0021346236	0.0007996649	0.0005100368	0.0007120862	0.0007111178	0.0004884739	0.0052872249
k__Bacteria|p__Bacteroidetes	0.3978964	0.1760029	0.3647040	0.4115318	0.5327960	0.2774640	0.3143925	0.0996988	0.2046215	0.2221254	0.1671109	0.3461146	0.2778291	0.2235155	0.3239521	0.4265326
k__Bacteria|p__Cyanobacteria	6.774222e-04	9.165213e-03	6.576887e-03	1.280942e-03	1.823520e-04	1.126282e-03	7.075600e-04	4.005255e-04	4.759072e-03	7.115412e-05	7.615856e-05	5.646836e-04	3.656659e-04	1.852649e-03	1.315122e-04	1.607602e-04
k__Bacteria|p__Firmicutes	0.5786255	0.7909442	0.5798448	0.5653114	0.4545488	0.7013446	0.6522252	0.8794418	0.7418018	0.7413370	0.8099653	0.6356698	0.7015589	0.7378221	0.6563586	0.5452451
k__Bacteria|p__Fusobacteria	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	2.658388e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.786225e-05
k__Bacteria|p__Proteobacteria	0.020483109	0.019869362	0.043985106	0.018349082	0.011378763	0.009668700	0.028048404	0.018824698	0.029465348	0.032428490	0.016259853	0.008160589	0.014530408	0.029380392	0.014691792	0.022006288
k__Bacteria|p__Tenericutes	1.782690e-04	1.709928e-05	1.618123e-03	6.986958e-04	2.005872e-04	0.000000e+00	9.434133e-04	2.403153e-04	2.156454e-03	2.490394e-04	3.236739e-04	1.420817e-03	9.622787e-05	4.865543e-04	3.569617e-04	8.931123e-05
k__Bacteria|p__Verrucomicrobia	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.859012e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Archaea|p__Crenarchaeota|c__Thaumarchaeota	0.000000e+00	5.129784e-05	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.320642e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.348070e-05	1.196949e-04	1.043950e-04	1.663561e-05	3.647040e-05	2.772387e-04	7.257026e-05	5.447147e-04	7.436050e-05	3.557706e-05	1.903964e-05	1.275092e-04	1.732102e-04	1.497090e-04	1.878746e-05	3.572449e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0014439790	0.0029581752	0.0021226990	0.0014140271	0.0005835263	0.0087850014	0.0034289446	0.0008010510	0.0126226948	0.0020990465	0.0007806253	0.0003825276	0.0005388761	0.0005614088	0.0004696864	0.0052515004
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.3978964	0.1760029	0.3647040	0.4115318	0.5327960	0.2774640	0.3143925	0.0996988	0.2046215	0.2221254	0.1671109	0.3461146	0.2778291	0.2235155	0.3239521	0.4265326
k__Bacteria|p__Cyanobacteria|c__4C0d-2	1.247883e-04	5.129784e-04	1.739917e-04	3.826191e-04	9.117599e-05	1.039645e-04	0.000000e+00	1.281682e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.773672e-05	3.181316e-04	1.878746e-05	8.931123e-05
k__Bacteria|p__Cyanobacteria|c__Chloroplast	5.526339e-04	8.652235e-03	6.402895e-03	8.983231e-04	9.117599e-05	1.022318e-03	7.075600e-04	2.723573e-04	4.759072e-03	7.115412e-05	7.615856e-05	5.646836e-04	3.079292e-04	1.534517e-03	1.127247e-04	7.144899e-05
k__Bacteria|p__Firmicutes|c__Bacilli	0.009911757	0.011353921	0.014824094	0.012925872	0.005415854	0.005596756	0.107131842	0.028597520	0.141340720	0.032037142	0.081432543	0.124904368	0.251058507	0.057076557	0.032333214	0.058873964
k__Bacteria|p__Firmicutes|c__Clostridia	0.5590160	0.7599432	0.5575391	0.5469124	0.4437900	0.6875347	0.5324661	0.8416803	0.5943821	0.6980753	0.7275808	0.5090167	0.4472671	0.6793046	0.6220339	0.4823164
k__Bacteria|p__Firmicutes|c__Erysipelotrichi	0.009697834	0.019647071	0.007481644	0.005473117	0.005342913	0.008213197	0.012627225	0.009164023	0.006078971	0.011224562	0.000951982	0.001748698	0.003233256	0.001440949	0.001991470	0.004054730
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	2.658388e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.786225e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1.051787e-03	1.983516e-03	1.096148e-03	2.661698e-04	1.641168e-04	2.425839e-04	1.632831e-04	6.408408e-05	2.212225e-03	1.423082e-04	7.615856e-05	5.464680e-05	1.347190e-04	2.077212e-03	1.878746e-05	1.428980e-04
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.010713967	0.010943538	0.042332185	0.017650386	0.009865242	0.005700721	0.027467842	0.018183857	0.020151695	0.026878469	0.002170519	0.003570258	0.006870670	0.009506522	0.003889004	0.017612175
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0086103931	0.0062754352	0.0002609876	0.0001663561	0.0012217582	0.0035694483	0.0002902810	0.0004005255	0.0028814694	0.0052298278	0.0134800655	0.0040985100	0.0072748268	0.0165428448	0.0103706765	0.0035903115
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.782690e-05	6.839711e-05	6.959669e-05	1.996274e-04	1.276464e-04	1.732742e-05	1.814256e-05	1.121471e-04	3.718025e-05	1.600968e-04	4.569514e-04	3.278808e-04	5.773672e-05	2.058499e-04	3.569617e-04	3.929694e-04
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.913450e-05	5.984747e-04	2.261892e-04	6.654245e-05	0.000000e+00	1.386194e-04	1.088554e-04	6.408408e-05	4.182778e-03	1.778853e-05	7.615856e-05	1.092936e-04	1.924557e-04	1.047963e-03	5.636237e-05	2.679337e-04
k__Bacteria|p__Tenericutes|c__Mollicutes	1.782690e-04	1.709928e-05	1.618123e-03	6.986958e-04	2.005872e-04	0.000000e+00	9.434133e-04	2.403153e-04	2.156454e-03	2.490394e-04	3.236739e-04	1.420817e-03	9.622787e-05	4.865543e-04	3.569617e-04	8.931123e-05
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.859012e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Archaea|p__Crenarchaeota|c__Thaumarchaeota|o__Cenarchaeales	0.000000e+00	5.129784e-05	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.320642e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
