#SampleID	BarcodeSequence	LinkerPrimerSequence	Treatment	Time	InputFileName	stage	group	Description	Unassigned|Other	k__Archaea|p__Crenarchaeota	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Cyanobacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Tenericutes	k__Bacteria|p__Verrucomicrobia
CR1.28	NA	NA	CR	28	CR.28.1.fna	1	CR28	CR1.28	0.000641768428559	0.0	0.00149745966664	0.397896425706	0.000677422230145	0.578625545949	0.0	0.0204831090115	0.000178269007933	0.0
CR2.28	NA	NA	CR	28	CR.28.2.fna	1	CR28	CR2.28	0.000872063198933	5.12978352314e-05	0.00307787011388	0.176002872679	0.009165213228	0.790944222154	0.0	0.0198693615129	1.70992784105e-05	0.0
CR3.28	NA	NA	CR	28	CR.28.3.fna	1	CR28	CR3.28	0.00104395030797	0.0	0.00222709399033	0.364704040088	0.00657688694018	0.579844799388	0.0	0.0439851063089	0.00161812297735	0.0
CR4.28	NA	NA	CR	28	CR.28.4.fna	1	CR28	CR4.28	0.00138075592228	1.66356135214e-05	0.00143066276284	0.411531807293	0.00128094224115	0.565311418685	0.0	0.0183490817141	0.0006986957679	0.0
CR6.28	NA	NA	CR	28	CR.28.6.fna	1	CR28	CR6.28	0.000273527963675	0.0	0.000619996717664	0.532796002845	0.000182351975784	0.454548770036	0.0	0.0113787632889	0.000200587173362	0.0
CR7.28	NA	NA	CR	28	CR.28.7.fna	1	CR28	CR7.28	0.00133421125589	0.0	0.00906224008872	0.277463958969	0.001126282229	0.701344607707	0.0	0.00966869975049	0.0	0.0
CR8.28	NA	NA	CR	28	CR.28.8.fna	1	CR28	CR8.28	0.00016328307843	0.0	0.00350151490412	0.314392496235	0.000707560006531	0.652225185508	1.814256427e-05	0.0280484043615	0.000943413342042	0.0
CR9.28	NA	NA	CR	28	CR.28.9.fna	1	CR28	CR9.28	4.80630587331e-05	0.0	0.00134576564453	0.0996988048319	0.000400525489442	0.879441827678	0.0	0.0188246980038	0.000240315293665	0.0
HA1.28	NA	NA	HA	28	HA.28.1.fna	1	HA28	HA1.28	0.00118976799524	0.000632064247472	0.0126970553242	0.204621505057	0.00475907198096	0.741801754908	0.00265838786437	0.0294653480071	0.00215645449137	1.85901249256e-05
HA10.28	NA	NA	HA	28	HA.28.10.fna	1	HA28	HA10.28	0.0016543332859	0.0	0.00213462359471	0.222125373559	7.11541198235e-05	0.741336985911	0.0	0.0324284901096	0.000249039419382	0.0
HA3.28	NA	NA	HA	28	HA.28.3.fna	1	HA28	HA3.28	0.00546437683257	0.0	0.000799664902327	0.167110924946	7.61585621263e-05	0.809965347854	0.0	0.016259853014	0.000323673889037	0.0
HA4.28	NA	NA	HA	28	HA.28.4.fna	1	HA28	HA4.28	0.00755947393348	0.0	0.000510036795512	0.346114612554	0.000564683595031	0.635669787606	0.0	0.00816058872819	0.0014208167875	0.0
HA5.28	NA	NA	HA	28	HA.28.5.fna	1	HA28	HA5.28	0.00490762124711	0.0	0.000712086220169	0.277829099307	0.000365665896844	0.701558891455	0.0	0.0145304080062	9.62278675905e-05	0.0
HA6.28	NA	NA	HA	28	HA.28.6.fna	1	HA28	HA6.28	0.00623163725509	0.0	0.000711117764845	0.223515541666	0.00185264891367	0.737822108277	0.0	0.0293803918633	0.000486554260157	0.0
HA7.28	NA	NA	HA	28	HA.28.7.fna	1	HA28	HA7.28	0.00402051590358	0.0	0.000488473894828	0.323952129558	0.000131512202454	0.656358614989	0.0	0.0146917917598	0.000356961692374	0.0
HA9.28	NA	NA	HA	28	HA.28.9.fna	1	HA28	HA9.28	0.000660903115176	0.0	0.00528722492141	0.426532580737	0.000160760217205	0.54524507002	1.78622463561e-05	0.0220062875107	8.93112317805e-05	0.0
