#SampleID	BarcodeSequence	LinkerPrimerSequence	Treatment	Time	InputFileName	stage	group	Description
CR1.0	NA	NA	CR	0	HA.0.1.fna	1	CR0	CR1.0
CR1.14	NA	NA	CR	14	HA.14.1.fna	1	CR14	CR1.14
CR1.28	NA	NA	CR	28	HA.28.1.fna	1	CR28	CR1.28
CR2.0	NA	NA	CR	0	HA.0.2.fna	1	CR0	CR2.0
CR2.14	NA	NA	CR	14	HA.14.2.fna	1	CR14	CR2.14
CR2.28	NA	NA	CR	28	HA.28.2.fna	1	CR28	CR2.28
CR3.0	NA	NA	CR	0	HA.0.3.fna	1	CR0	CR3.0
CR3.14	NA	NA	CR	14	HA.14.3.fna	1	CR14	CR3.14
CR3.28	NA	NA	CR	28	HA.28.3.fna	1	CR28	CR3.28
CR4.0	NA	NA	CR	0	HA.0.4.fna	1	CR0	CR4.0
CR4.14	NA	NA	CR	14	HA.14.4.fna	1	CR14	CR4.14
CR4.28	NA	NA	CR	28	HA.28.4.fna	1	CR28	CR4.28
CR6.0	NA	NA	CR	0	HA.0.6.fna	1	CR0	CR6.0
CR6.14	NA	NA	CR	14	HA.14.6.fna	1	CR14	CR6.14
CR6.28	NA	NA	CR	28	HA.28.6.fna	1	CR28	CR6.28
CR7.0	NA	NA	CR	0	HA.0.7.fna	1	CR0	CR7.0
CR7.14	NA	NA	CR	14	HA.14.7.fna	1	CR14	CR7.14
CR7.28	NA	NA	CR	28	HA.28.7.fna	1	CR28	CR7.28
CR8.0	NA	NA	CR	0	HA.0.8.fna	1	CR0	CR8.0
CR8.14	NA	NA	CR	14	HA.14.8.fna	1	CR14	CR8.14
CR8.28	NA	NA	CR	28	HA.28.8.fna	1	CR28	CR8.28
CR9.0	NA	NA	CR	0	HA.0.9.fna	1	CR0	CR9.0
CR9.14	NA	NA	CR	14	HA.14.9.fna	1	CR14	CR9.14
CR9.28	NA	NA	CR	28	HA.28.9.fna	1	CR28	CR9.28
HA1.0	NA	NA	HA	0	CR.0.1.fna	1	HA0	HA1.0
HA1.14	NA	NA	HA	14	CR.14.1.fna	1	HA14	HA1.14
HA1.28	NA	NA	HA	28	CR.28.1.fna	1	HA28	HA1.28
HA10.0	NA	NA	HA	0	CR.0.10.fna	1	HA0	HA10.0
HA10.14	NA	NA	HA	14	CR.14.10.fna	1	HA14	HA10.14
HA10.28	NA	NA	HA	28	CR.28.10.fna	1	HA28	HA10.28
HA3.0	NA	NA	HA	0	CR.0.3.fna	1	HA0	HA3.0
HA3.14	NA	NA	HA	14	CR.14.3.fna	1	HA14	HA3.14
HA3.28	NA	NA	HA	28	CR.28.3.fna	1	HA28	HA3.28
HA4.0	NA	NA	HA	0	CR.0.4.fna	1	HA0	HA4.0
HA4.14	NA	NA	HA	14	CR.14.4.fna	1	HA14	HA4.14
HA4.28	NA	NA	HA	28	CR.28.4.fna	1	HA28	HA4.28
HA5.0	NA	NA	HA	0	CR.0.5.fna	1	HA0	HA5.0
HA5.14	NA	NA	HA	14	CR.14.5.fna	1	HA14	HA5.14
HA5.28	NA	NA	HA	28	CR.28.5.fna	1	HA28	HA5.28
HA6.0	NA	NA	HA	0	CR.0.6.fna	1	HA0	HA6.0
HA6.14	NA	NA	HA	14	CR.14.6.fna	1	HA14	HA6.14
HA6.28	NA	NA	HA	28	CR.28.6.fna	1	HA28	HA6.28
HA7.0	NA	NA	HA	0	CR.0.7.fna	1	HA0	HA7.0
HA7.14	NA	NA	HA	14	CR.14.7.fna	1	HA14	HA7.14
HA7.28	NA	NA	HA	28	CR.28.7.fna	1	HA28	HA7.28
HA9.0	NA	NA	HA	0	CR.0.9.fna	1	HA0	HA9.0
HA9.14	NA	NA	HA	14	CR.14.9.fna	1	HA14	HA9.14
HA9.28	NA	NA	HA	28	CR.28.9.fna	1	HA28	HA9.28
