#Sample_name	Raw_reads(#)	Clean_Reads(#)	Base(nt)	AvgLen(nt)	Q20	GC%	Effective%
HA.0.1	88955	80244	32609344	406	84.95	53.8	90.21
HA.0.2	86026	80098	32470824	405	85	53.07	93.11
HA.0.3	82625	80073	32526864	406	84.76	53.97	96.91
HA.0.4	86451	80240	32712152	407	84.88	52.65	92.82
HA.0.5	83023	80111	32781711	409	85.09	52.82	96.49
HA.0.6	84567	80124	32532440	406	84.21	53.07	94.75
HA.0.7	85280	80166	32525553	405	85.63	53.14	94
HA.0.8	85342	80025	32627449	407	84.35	53.51	93.77
HA.0.9	83260	80027	32683757	408	83.87	52.7	96.12
HA.0.10	83184	80082	32476166	405	84.89	54.14	96.27
HA.0.11	82369	80032	33072538	413	83	51.57	97.16
HA.0.12	87680	80139	33205306	414	83.56	52.71	91.4
HA.0.13	58772	56242	22972772	408	81.75	53.57	95.7
HA.0.14	85297	80024	33036444	412	84.86	52.26	93.82
HA.0.15	83483	80101	33493112	418	85.02	52	95.95
CR.0.1	86992	80202	32029494	399	83.23	54.21	92.19
CR.0.2	86972	80051	32474756	405	85.97	53.63	92.04
CR.0.3	88059	80118	32163033	401	86.26	53.7	90.98
CR.0.4	83891	80068	32580334	406	83.48	53.48	95.44
CR.0.5	85848	80188	32576785	406	83.16	53.77	93.41
CR.0.6	84998	80087	32135206	401	83.26	53.9	94.22
CR.0.7	64157	60593	24502203	404	83.2	53.61	94.44
CR.0.8	83421	80052	32375114	404	84.26	52.36	95.96
CR.0.9	88890	80015	32566979	407	85.62	52.9	90.02
CR.0.10	88147	80079	32239473	402	84.15	53.81	90.85
CR.0.11	74636	71364	29617122	415	84.55	52.31	95.62
CR.0.12	83390	80162	33199072	414	84.08	52.79	96.13
CR.0.13	82728	80334	33432533	416	84.49	52.34	97.11
CR.0.14	82068	80088	33095333	413	83.83	52.43	97.59
CR.0.15	85685	80196	32816441	409	84.97	52.81	93.59
HA.14.1	84931	80042	33107189	413	85.91	52.53	94.24
HA.14.2	83593	80137	33111247	413	86.41	52.14	95.87
HA.14.3	84858	80037	32925957	411	85.79	53.23	94.32
HA.14.4	81921	80081	34202719	427	84.33	51.64	97.75
HA.14.5	88831	80175	33084062	412	84.81	52.28	90.26
HA.14.6	82430	80212	32754825	408	84.35	52.93	97.31
HA.14.7	83613	80080	32801949	409	83.69	53.36	95.77
HA.14.8	85645	80015	33352621	416	83.41	52.21	93.43
HA.14.9	84307	80157	32745680	408	84.83	53.08	95.08
HA.14.10	88284	80093	32937477	411	81.85	53.57	90.72
