#Sample_name	Raw_reads(#)	Clean_Reads(#)	Base(nt)	AvgLen(nt)	Q20	GC%	Effective%
CR.0.1	88955	80244	32609344	406	84.95	53.8	90.21
CR.0.2	86026	80098	32470824	405	85	53.07	93.11
CR.0.3	82625	80073	32526864	406	84.76	53.97	96.91
CR.0.4	86451	80240	32712152	407	84.88	52.65	92.82
CR.0.6	84567	80124	32532440	406	84.21	53.07	94.75
CR.0.7	85280	80166	32525553	405	85.63	53.14	94
CR.0.8	85342	80025	32627449	407	84.35	53.51	93.77
CR.0.9	83260	80027	32683757	408	83.87	52.7	96.12
HA.0.1	86992	80202	32029494	399	83.23	54.21	92.19
HA.0.3	88059	80118	32163033	401	86.26	53.7	90.98
HA.0.4	83891	80068	32580334	406	83.48	53.48	95.44
HA.0.5	85848	80188	32576785	406	83.16	53.77	93.41
HA.0.6	84998	80087	32135206	401	83.26	53.9	94.22
HA.0.7	64157	60593	24502203	404	83.2	53.61	94.44
HA.0.9	88890	80015	32566979	407	85.62	52.9	90.02
HA.0.10	88147	80079	32239473	402	84.15	53.81	90.85
CR.14.1	84931	80042	33107189	413	85.91	52.53	94.24
CR.14.2	83593	80137	33111247	413	86.41	52.14	95.87
CR.14.3	84858	80037	32925957	411	85.79	53.23	94.32
CR.14.4	81921	80081	34202719	427	84.33	51.64	97.75
CR.14.6	82430	80212	32754825	408	84.35	52.93	97.31
CR.14.7	83613	80080	32801949	409	83.69	53.36	95.77
CR.14.8	85645	80015	33352621	416	83.41	52.21	93.43
CR.14.9	84307	80157	32745680	408	84.83	53.08	95.08
HA.14.1	85535	80070	32816954	409	84.81	52.98	93.61
HA.14.3	84823	80086	32832351	409	83.97	53.55	94.42
HA.14.4	84156	80197	32777059	408	85.07	53.08	95.3
HA.14.5	88390	80195	33002295	411	84.41	52.3	90.73
HA.14.6	81784	80020	32906938	411	86.36	53.85	97.84
HA.14.7	87510	80180	32970706	411	85.87	52.72	91.62
HA.14.9	80270	76385	31326547	410	82.3	53.52	95.16
HA.14.10	85826	80214	32791005	408	81.59	53.58	93.46
CR.28.1	85146	80182	32539112	405	80.41	52.34	94.17
CR.28.2	86097	80179	32546518	405	83.14	53.23	93.13
CR.28.3	82100	78120	32001490	409	82.77	52.89	95.15
CR.28.4	84042	80029	32693277	408	83.37	52.31	95.23
CR.28.6	85246	80136	32331252	403	79.84	51.83	94.01
CR.28.7	83476	80193	32563819	406	81.18	52.67	96.07
CR.28.8	85611	80206	32502830	405	80.29	52.42	93.69
CR.28.9	84717	80109	32435451	404	83.59	53.14	94.56
HA.28.1	82553	80191	32780831	408	81.29	53.51	97.14
HA.28.3	83670	80184	32668949	407	81.26	53.37	95.83
HA.28.4	85912	82017	33470200	408	80.57	52.81	95.47
HA.28.5	85959	80065	32894827	410	78.7	52.86	93.14
HA.28.6	87230	80063	32377295	404	81.36	53.59	91.78
HA.28.7	85560	80253	32600226	406	82.39	53.04	93.8
HA.28.9	85106	81911	33136809	404	80.71	52.37	96.25
HA.28.10	87367	80150	32585040	406	81.92	52.75	91.74
