cage_id	id	rt	exp_time	state	days
1	0	39.07	2018-09-13	HA	1
1	1	39.49	2018-09-13	HA	1
1	2	39.61	2018-09-13	HA	1
1	3	39.98	2018-09-13	HA	1
1	4	39.38	2018-09-13	HA	1
2	0	39.22	2018-09-13	HA	1
2	1	39.57	2018-09-13	HA	1
2	2	39.29	2018-09-13	HA	1
2	3	39.58	2018-09-13	HA	1
2	4	39.34	2018-09-13	HA	1
3	0	39.41	2018-09-13	HA	1
3	1	40.03	2018-09-13	HA	1
3	2	39.73	2018-09-13	HA	1
3	3	39.56	2018-09-13	HA	1
3	4	39.22	2018-09-13	HA	1
4	0	39.42	2018-09-13	HA	1
4	1	39.75	2018-09-13	HA	1
4	2	39.18	2018-09-13	HA	1
4	3	39.03	2018-09-13	HA	1
4	4	39.18	2018-09-13	HA	1
5	0	39.46	2018-09-13	HA	1
5	1	39.69	2018-09-13	HA	1
5	2	39.88	2018-09-13	HA	1
5	3	39.57	2018-09-13	HA	1
5	4	39.59	2018-09-13	HA	1
6	0	38.6	2018-09-13	CR	1
6	1	38.33	2018-09-13	CR	1
6	2	38.53	2018-09-13	CR	1
6	3	37.67	2018-09-13	CR	1
6	4	38.28	2018-09-13	CR	1
7	0	37.07	2018-09-13	CR	1
7	1	37.62	2018-09-13	CR	1
7	2	38.35	2018-09-13	CR	1
7	3	37.93	2018-09-13	CR	1
7	4	37.76	2018-09-13	CR	1
8	0	38.54	2018-09-13	CR	1
8	1	37.47	2018-09-13	CR	1
8	2	37.69	2018-09-13	CR	1
8	3	37.76	2018-09-13	CR	1
8	4	37.74	2018-09-13	CR	1
1	0	39.2	2018-09-15	HA	3
1	1	39.28	2018-09-15	HA	3
1	2	38.69	2018-09-15	HA	3
1	3	39.65	2018-09-15	HA	3
1	4	39.25	2018-09-15	HA	3
2	0	39.12	2018-09-15	HA	3
2	1	39.29	2018-09-15	HA	3
2	2	39.22	2018-09-15	HA	3
2	3	39.33	2018-09-15	HA	3
2	4	39.39	2018-09-15	HA	3
3	0	39.48	2018-09-15	HA	3
3	1	39.64	2018-09-15	HA	3
3	2	39.54	2018-09-15	HA	3
3	3	39.59	2018-09-15	HA	3
3	4	39.21	2018-09-15	HA	3
4	0	39.33	2018-09-15	HA	3
4	1	39.4	2018-09-15	HA	3
4	2	39.2	2018-09-15	HA	3
4	3	38.91	2018-09-15	HA	3
4	4	39.03	2018-09-15	HA	3
5	0	39.36	2018-09-15	HA	3
5	1	39.25	2018-09-15	HA	3
5	2	39.17	2018-09-15	HA	3
5	3	38.93	2018-09-15	HA	3
5	4	38.91	2018-09-15	HA	3
6	0	37.49	2018-09-15	CR	3
6	1	38.6	2018-09-15	CR	3
6	2	37.9	2018-09-15	CR	3
6	3	38.11	2018-09-15	CR	3
6	4	38.3	2018-09-15	CR	3
7	0	38.32	2018-09-15	CR	3
7	1	37.54	2018-09-15	CR	3
7	2	37.87	2018-09-15	CR	3
7	3	37.79	2018-09-15	CR	3
7	4	37.76	2018-09-15	CR	3
8	0	37.73	2018-09-15	CR	3
8	1	38.06	2018-09-15	CR	3
8	2	38.3	2018-09-15	CR	3
8	3	38.22	2018-09-15	CR	3
8	4	38.17	2018-09-15	CR	3
1	0	39.74	2018-09-18	HA	6
1	1	39.76	2018-09-18	HA	6
1	2	38.35	2018-09-18	HA	6
1	3	39.17	2018-09-18	HA	6
1	4	39.28	2018-09-18	HA	6
2	0	38.74	2018-09-18	HA	6
2	1	38.67	2018-09-18	HA	6
2	2	38.95	2018-09-18	HA	6
2	3	39.03	2018-09-18	HA	6
2	4	38.42	2018-09-18	HA	6
3	0	38.93	2018-09-18	HA	6
3	1	39.31	2018-09-18	HA	6
3	2	39.31	2018-09-18	HA	6
3	3	39.76	2018-09-18	HA	6
3	4	39.15	2018-09-18	HA	6
4	0	39.21	2018-09-18	HA	6
4	1	39.59	2018-09-18	HA	6
4	2	38.4	2018-09-18	HA	6
4	3	38.66	2018-09-18	HA	6
4	4	38.44	2018-09-18	HA	6
5	0	38.65	2018-09-18	HA	6
5	1	38.72	2018-09-18	HA	6
5	2	39.18	2018-09-18	HA	6
5	3	39.2	2018-09-18	HA	6
5	4	38.62	2018-09-18	HA	6
6	0	38.01	2018-09-18	CR	6
6	1	37.91	2018-09-18	CR	6
6	2	38.51	2018-09-18	CR	6
6	3	38.09	2018-09-18	CR	6
6	4	38.21	2018-09-18	CR	6
7	0	38.31	2018-09-18	CR	6
7	1	37.6	2018-09-18	CR	6
7	2	38.22	2018-09-18	CR	6
7	3	38.01	2018-09-18	CR	6
7	4	38.05	2018-09-18	CR	6
8	0	38.4	2018-09-18	CR	6
8	1	37.98	2018-09-18	CR	6
8	2	37.79	2018-09-18	CR	6
8	3	37.65	2018-09-18	CR	6
8	4	37.38	2018-09-18	CR	6
1	0	40.08	2018-09-19	HA	7
1	1	39.97	2018-09-19	HA	7
1	2	39.55	2018-09-19	HA	7
1	3	39.51	2018-09-19	HA	7
1	4	39.79	2018-09-19	HA	7
2	0	39	2018-09-19	HA	7
2	1	39.5	2018-09-19	HA	7
2	2	38.77	2018-09-19	HA	7
2	3	38.92	2018-09-19	HA	7
2	4	39.26	2018-09-19	HA	7
3	0	39.43	2018-09-19	HA	7
