"","Fold Change","log2(FC)"
"Com_373_pos",57.404,5.8431
"Com_3078_pos",0.020006,-5.6434
"Com_1548_pos",26.31,4.7175
"Com_635_pos",17.608,4.1382
"Com_7464_pos",15.347,3.9399
"Com_1837_pos",12.931,3.6928
"Com_19_pos",0.082024,-3.6078
"Com_5135_pos",11.787,3.5591
"Com_1671_pos",11.525,3.5267
"Com_869_pos",0.092009,-3.4421
"Com_85_pos",9.6554,3.2713
"Com_3316_pos",9.0049,3.1707
"Com_15365_pos",7.8448,2.9717
"Com_16736_pos",0.13292,-2.9114
"Com_2674_pos",7.3514,2.878
"Com_3826_pos",0.14352,-2.8006
"Com_11643_pos",6.7153,2.7475
"Com_8416_pos",0.14902,-2.7464
"Com_12726_pos",6.506,2.7018
"Com_15_pos",6.1829,2.6283
"Com_9495_pos",6.1652,2.6242
"Com_6571_pos",6.1598,2.6229
"Com_16975_pos",0.16286,-2.6183
"Com_337_pos",0.16403,-2.6079
"Com_9585_pos",0.16692,-2.5828
"Com_711_pos",5.9762,2.5792
"Com_540_pos",0.17278,-2.533
"Com_11099_pos",5.6114,2.4884
"Com_7707_pos",5.4528,2.447
"Com_3033_pos",0.18438,-2.4392
"Com_8258_pos",5.3523,2.4202
"Com_810_pos",5.2992,2.4058
"Com_5379_pos",5.1786,2.3726
"Com_650_pos",5.154,2.3657
"Com_1166_pos",5.1362,2.3607
"Com_3578_pos",5.1086,2.3529
"Com_1513_pos",0.20084,-2.3159
"Com_4923_pos",4.9734,2.3142
"Com_1908_pos",4.8258,2.2708
"Com_2328_pos",4.6885,2.2291
"Com_11724_pos",4.6796,2.2264
"Com_1103_pos",0.21664,-2.2066
"Com_10662_pos",4.6005,2.2018
"Com_9284_pos",4.577,2.1944
"Com_17868_pos",4.5394,2.1825
"Com_12866_pos",4.3314,2.1148
"Com_2228_pos",4.3132,2.1088
"Com_4434_pos",4.2896,2.1008
"Com_607_pos",4.0611,2.0219
"Com_199_pos",4.0578,2.0207
"Com_7838_pos",3.8912,1.9602
"Com_5562_pos",3.8833,1.9573
"Com_18427_pos",0.26115,-1.937
"Com_183_pos",3.8096,1.9297
"Com_3252_pos",0.26431,-1.9197
"Com_8983_pos",3.7165,1.8939
"Com_4110_pos",3.6993,1.8873
"Com_10271_pos",3.6649,1.8738
"Com_1921_pos",3.6375,1.8629
"Com_1327_pos",3.6304,1.8601
"Com_5147_pos",3.5891,1.8436
"Com_1063_pos",3.5839,1.8415
"Com_6642_pos",3.5193,1.8153
"Com_3462_pos",0.28483,-1.8118
"Com_1425_pos",0.28534,-1.8093
"Com_11104_pos",0.29217,-1.7751
"Com_217_pos",3.4019,1.7663
"Com_3041_pos",0.29413,-1.7655
