"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"87.03198","C00265","M-HCOONa+H[1+]","9.64667700031896e-05"
"87.03198","C00950","M-HCOONa+H[1+]","9.64667700031896e-05"
"87.03198","C01963","M+H+Na[2+]","0.000346466769983067"
"135.05444","C00147","M[1+]","5.99999999906231e-05"
"144.07857","C01516","M(C13)+2H[2+]","0.00134353322999914"
"162.10033","C01028","M[1+]","6.99999999937972e-05"
"162.10033","C01441","M+2H[2+]","0.000453533230000858"
"133.03737","C00049","M[1+]","0.00012999999998442"
"133.03737","C00402","M[1+]","0.00012999999998442"
"133.03737","C01727","M+H+Na[2+]","0.00110646677001114"
"251.10149","C01550","M-NH3+H[1+]","0.00118646676997969"
"251.10149","C00455","M-HCOOK+H[1+]","0.00108646677000479"
"251.10149","C00559","M[1+]","0.000309999999984711"
"384.20427","C02202","M-NH3+H[1+]","0.00280646676998231"
"209.15265","C00449","M-HCOONa+H[1+]","0.000673533229985424"
"169.07379","C00314","M[1+]","0.000110000000006494"
"169.07379","C00547","M[1+]","0.000110000000006494"
"383.17985","C00762","M+Na[1+]","0.00312646677002704"
"383.17985","C01780","M+Na[1+]","0.00312646677002704"
"102.06797","C00803","M[1+]","0.000129999999998631"
"260.13677","C00272","M+H2O+H[1+]","0.00139353322998659"
"105.04249","C01855","M(C13)+3H[3+]","0.00064686656332924"
"105.04249","C00065","M[1+]","0.000109999999992283"
"105.04249","C00716","M[1+]","0.000109999999992283"
"105.04249","C00740","M[1+]","0.000109999999992283"
"105.04249","C01625","M+3H[3+]","1.35332300175151e-05"
"243.15784","C01760","M+H2O+H[1+]","0.00123646677002398"
"111.04316","C00090","M+H[1+]","0.000916466769993463"
"111.04316","C00450","M-NH3+H[1+]","0.000916466769993463"
"111.04316","C00530","M+H[1+]","0.000916466769993463"
"111.04316","C01751","M+H[1+]","0.000916466769993463"
"111.04316","C01785","M+H[1+]","0.000916466769993463"
"111.04316","C00156","M-CO+H[1+]","0.000816466769990143"
"111.04316","C00196","M-CO2+H[1+]","0.000916466769993463"
"111.04316","C00230","M-CO2+H[1+]","0.000916466769993463"
"111.04316","C00380","M[1+]","0.000140000000001805"
"111.04316","C00587","M-CO+H[1+]","0.000816466769990143"
"111.04316","C00628","M-CO2+H[1+]","0.000916466769993463"
"111.04316","C00659","M-H4O2+H[1+]","0.000816466769990143"
"111.04316","C00772","M-H4O2+H[1+]","0.000816466769990143"
