"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number"
"Tyrosine metabolism","42","15","15","18.663","0.0013918","0.012752","0.0053083","0","0","P0"
"Glycine, serine and threonine metabolism","32","14","13","14.22","0.019023","0.078465","0.0063136","0","0","P1"
"Steroid hormone biosynthesis","70","15","13","31.106","0.058087","0.16374","0.0079417","0","0","P2"
"Vitamin B6 metabolism","9","6","6","3.9993","0.073143","0.31195","0.012004","915","0.915","P3"
"Cysteine and methionine metabolism","28","8","7","12.442","0.16451","0.41906","0.016424","0","0","P4"
"Valine, leucine and isoleucine biosynthesis","11","5","5","4.888","0.11327","0.42143","0.016541","275","0.275","P5"
"Sphingolipid metabolism","21","5","5","9.3317","0.11327","0.42143","0.016541","0","0","P6"
"Valine, leucine and isoleucine degradation","38","7","6","16.886","0.22876","0.52427","0.022723","0","0","P7"
"Methane metabolism","9","4","4","3.9993","0.1753","0.55684","0.025236","0","0","P8"
"Lysine degradation","20","8","6","8.8873","0.42154","0.69961","0.041397","873","0.873","P9"
"Histidine metabolism","15","8","6","6.6655","0.42154","0.69961","0.041397","709","0.709","P10"
"Ubiquinone and other terpenoid-quinone biosynthesis","3","3","3","1.3331","0.27114","0.71377","0.043661","801","0.801","P11"
"Pantothenate and CoA biosynthesis","15","7","5","6.6655","0.52666","0.79523","0.060692","0","0","P12"
"Aminoacyl-tRNA biosynthesis","67","19","12","29.772","0.65859","0.80798","0.064194","643","0.643","P13"
"Pentose and glucuronate interconversions","14","9","6","6.2211","0.60313","0.82349","0.068881","2","0.002","P14"
"beta-Alanine metabolism","19","9","6","8.4429","0.60313","0.82349","0.068881","0","0","P15"
"Phenylalanine metabolism","9","4","3","3.9993","0.55869","0.87069","0.087006","798","0.798","P16"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","1.7775","0.55869","0.87069","0.087006","920","0.92","P17"
"Glycerolipid metabolism","18","4","3","7.9986","0.55869","0.87069","0.087006","0","0","P18"
"Riboflavin metabolism","11","4","3","4.888","0.55869","0.87069","0.087006","0","0","P19"
"Cyanoamino acid metabolism","6","2","2","2.6662","0.41916","0.87532","0.089202","0","0","P20"
"Pentose phosphate pathway","19","6","4","8.4429","0.6425","0.87952","0.091276","268","0.268","P21"
"Propanoate metabolism","20","6","4","8.8873","0.6425","0.87952","0.091276","0","0","P22"
"Glycerophospholipid metabolism","30","7","4","13.331","0.79696","0.94275","0.13814","988","0.988","P23"
"Folate biosynthesis","16","5","3","7.1098","0.76159","0.94451","0.14016","0","0","P24"
"Fructose and mannose metabolism","19","9","5","8.4429","0.82528","0.94473","0.14041","52","0.052","P25"
"Alanine, aspartate and glutamate metabolism","24","11","6","10.665","0.84857","0.94822","0.14462","35","0.035","P26"
"Arginine and proline metabolism","44","22","12","19.552","0.89111","0.95105","0.14825","258","0.258","P27"
"Pyruvate metabolism","22","3","2","9.776","0.71519","0.9561","0.15529","0","0","P28"
"Purine metabolism","68","21","11","30.217","0.92162","0.9677","0.1751","959","0.959","P29"
"Steroid biosynthesis","35","10","5","15.553","0.90336","0.97314","0.18695","26","0.026","P30"
"Porphyrin and chlorophyll metabolism","27","8","4","11.998","0.89207","0.97389","0.18876","205","0.205","P31"
"Pyrimidine metabolism","41","14","7","18.219","0.92334","0.97487","0.19123","411","0.411","P32"
"Tryptophan metabolism","41","14","7","18.219","0.92334","0.97487","0.19123","999","0.999","P33"
"One carbon pool by folate","9","6","3","3.9993","0.88067","0.97701","0.1969","31","0.031","P34"
"Glyoxylate and dicarboxylate metabolism","16","4","2","7.1098","0.8717","0.98457","0.22213","0","0","P35"
"Nitrogen metabolism","9","4","2","3.9993","0.8717","0.98457","0.22213","667","0.667","P36"
"Ascorbate and aldarate metabolism","9","5","2","3.9993","0.9451","0.99459","0.28567","794","0.794","P37"
"Primary bile acid biosynthesis","46","5","2","20.441","0.9451","0.99459","0.28567","57","0.057","P38"
"Terpenoid backbone biosynthesis","15","5","2","6.6655","0.9451","0.99459","0.28567","897","0.897","P39"
"Glutathione metabolism","26","11","4","11.553","0.98762","0.99791","0.33939","804","0.804","P40"
"Glycolysis or Gluconeogenesis","26","6","2","11.553","0.97732","0.99811","0.34474","102","0.102","P41"
"Biosynthesis of unsaturated fatty acids","42","6","2","18.663","0.97732","0.99811","0.34474","674","0.674","P42"
"Butanoate metabolism","20","7","2","8.8873","0.99087","0.99934","0.39922","0","0","P43"
"Starch and sucrose metabolism","23","11","3","10.22","0.99796","0.99979","0.45357","444","0.444","P44"
"Galactose metabolism","26","16","5","11.553","0.99872","0.9998","0.45494","474","0.474","P45"
"Amino sugar and nucleotide sugar metabolism","37","17","5","16.442","0.99943","0.99992","0.49304","343","0.343","P46"
"Arachidonic acid metabolism","36","10","2","15.997","0.99946","0.99997","0.53761","826","0.826","P47"
"Fatty acid biosynthesis","43","3","1","19.108","0.95649","1","1","0","0","P48"
