	HA6.28	HA4.28	CR1.28	CR9.28	CR3.28	HA10.28	CR7.28	CR4.28	HA7.28	HA1.28	HA3.28	CR8.28	CR6.28	HA5.28	HA9.28	CR2.28
306528	2	1.25	0	0	0.75	1	0	0	0.75	0.5	3.75	0.5	0	3	0	0
3957916	2	8	3	10	21	2	0	14	24	14	2.5	19.5	1.5	7.5	0	0
183857	0	4	61	37	39	8	8	5	5	0	0	5	18	0	15	54
4465907	141	737	6358	33764	13204	3884	7831	1855	1163	79	104	8320	1943	30	4720	3927
413695	0	0.666666666666667	0	0	0	0	0	0	0.666666666666667	0	4.33333333333333	0	0	0	0	0
349036	1.33333333333333	0	0	0	0	0	0	0	1.66666666666667	0	1.33333333333333	0	0	0	0	0
181348	13.6666666666667	5	0	0	2.33333333333333	4.66666666666667	5.66666666666667	0.666666666666667	2.33333333333333	0	4	0.666666666666667	0	2.66666666666667	7	2.33333333333333
1111328	7.5	0	0	0	0.5	0	0	0	0	7	8	0.5	0	3.75	0	0
42839	650	64	37	4	10	5	4	56	47	5	2	190	18	719	21	15
1053321	0.5	0	0	0	0	0	0	0	0	26.25	0.75	0.5	0	0	0	0
4480529	0	0	134	3	0	0	3	0	2	2	0	0	0	0	0	203
4442508	0.5	0	0	0	0	1	1.5	0	2	0.75	0	0	22	0.5	7	0
4465124	7.25	19	0.5	0	63	1	1	169.25	12.75	48.25	22.25	3	1	34.5	0	679
4421276	0.833333333333333	0.333333333333333	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
4409730	148.5	89	3138.5	17.5	453.5	122	159	62.5	39	275.5	229.5	949.5	69.5	84	174.5	129
4379957	9	52	2	0	0	9	0	20	8	9	65	6	0	22	2	9
367879	0	0.75	0	0	0	0	0	0.5	0	5.75	0	0	0	0	0	0
3931537	203.75	25.5	0	0.5	39.5	0.5	0	61.75	26	37.25	140.25	6	0	107.75	0	27.5
828435	1.66666666666667	9.33333333333333	0	0	1.33333333333333	0	0	0.666666666666667	0	36.3333333333333	1.33333333333333	0	0	2	0	0
404292	3	0	0	0	4	0	0	0	101	48	0	19	0	0	0	6
190676	2.5	5	0	0.5	0	1.5	0.5	0.75	12	10.25	6	1.25	0	2.5	0.5	0
1109297	31	64	0	0	0	2	0	0	64	7	7	5	0	6	0	3
4374302	6	34	0	0	7	7	0	32	25	8	20	0	3	7	3	7
147195	6.33333333333333	4	0	0	0.666666666666667	0	0	0	1.33333333333333	5	9.33333333333333	1.33333333333333	0	1.33333333333333	0	2.33333333333333
416286	4	0	0	0	5	0	0	2	47	9	12	10	0	0	0	0
4453316	0	0	0	0	6	0	2	2	0	3	0	2	0	0	0	12
4453318	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	15
411254	2	19	0	7	0	0	0	0	10	0	2	55	8	0	0	0
4439469	12.3333333333333	2.66666666666667	9	4.16666666666667	3.66666666666667	10.6666666666667	35.3333333333333	6.33333333333333	1.5	3.83333333333333	2.83333333333333	0	8.66666666666667	3.16666666666667	1.66666666666667	7
374557	2.33333333333333	3.33333333333333	1.66666666666667	10	24.3333333333333	152.666666666667	0	14.6666666666667	80	83.6666666666667	1.66666666666667	2.66666666666667	1	4	184.666666666667	1.66666666666667
4432234	5.75	32	0	0	0	0	0	0	1.75	3.75	14.25	3	0	7.25	0	0
390497	5.25	9.75	0	0	0.5	1	0	0	8.5	2.75	63.75	0	0	0	0.75	2.5
276260	0	0	0	5	0	0	2	0	11	0	0	0	5	9	2	2
712142	2.8	1.2	0	0	0	0	0	1.2	0	1.4	0.4	1	0	1.2	0	0
367176	0	0	0.5	0	0	7	10	0	0	0	0	0	7.75	0.5	9	5.5
1107586	40.6666666666667	19	0.666666666666667	3	3.33333333333333	0	0	2.33333333333333	36.6666666666667	70	37.3333333333333	6	1	14	0.666666666666667	3
1892252	2	0	0	0	4	0	2	0	0	7	0	2	0	0	0	6
322678	4	101.666666666667	0	1.33333333333333	0.666666666666667	0	0	37.3333333333333	18	24.3333333333333	265	0	0.666666666666667	37	1.33333333333333	2.66666666666667
743911	5	4	5	4	0	4	0	0	41	9	11	0	0	2	0	0
112931	1.75	0	0	0	0	0	0	0.5	0	0	1.5	0	0	0.75	0	0.5
1105326	6.33333333333333	0	0	0	1.33333333333333	0.666666666666667	0	0	0.666666666666667	24.3333333333333	8	0	0	4.66666666666667	0	0
4380191	6	60	0	2	0	175	2	0	5	0	13	5	174	0	82	0
295180	5	0	55	0	10	7	0	5	0	0	0	2	5	0	5	15
342571	5	0	0	0	0.666666666666667	0	0	2	0	0.666666666666667	1	0.666666666666667	0	8	0	0
4309760	4	11.25	0	0	28	0	0	27	1.25	16.25	2.75	0.75	0	151	0	64.5
271602	1.75	0	0	0.5	1	0	0	0	0	1.75	9.75	0	0	1	0	0
1569569	5.75	0.75	0	0	2	0	0	2.5	0.75	2.5	4.5	0.5	0	3	0	0
