otu	enrich_group	lda	p
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	HA	3.9529	0.0274
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	HA	3.8883	0.0046
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	HA	3.8883	0.0046
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	HA	3.8868	0.0046
k__Bacteria.p__Firmicutes.c__Bacilli	HA	3.8861	0.0046
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia	HA	3.7989	0.0157
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24_7	HA	3.7851	0.0033
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	HA	3.773	0.0016
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Vagococcus	HA	3.2733	0.0256
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales	HA	2.8176	0.0209
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae	HA	2.8176	0.0209
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria	HA	2.8176	0.0209
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	HA	2.7193	0.0209
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales	HA	2.4721	0.0274
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae	HA	2.4721	0.0274
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	HA	2.4721	0.0274
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	CR	4.3964	0.0016
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	CR	4.1198	0.046
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f___Paraprevotellaceae_.g___Prevotella_	CR	3.5182	0.046
k__Bacteria.p__Cyanobacteria.c__4C0d_2	CR	3.0047	0.0252
k__Bacteria.p__Cyanobacteria.c__4C0d_2.o__YS2	CR	3.0047	0.0252
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	CR	2.8015	0.0117
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	CR	2.8015	0.0117
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	CR	2.8015	0.0117
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	CR	2.6742	0.0117
