# Constructed from biom file
#OTU ID	HA6.28	HA4.28	CR1.28	CR9.28	CR3.28	HA10.28	CR7.28	CR4.28	HA7.28	HA1.28	HA3.28	CR8.28	CR6.28	HA5.28	HA9.28	CR2.28	KEGG_Pathways
Amino Acid Metabolism	3948277.0	4069768.0	5414025.0	12004358.0	6335544.0	5877000.0	4853420.0	5534645.0	3693388.0	3473528.0	3963806.0	5198500.0	3867278.0	2795368.0	4888588.0	6304589.0	Metabolism; Amino Acid Metabolism
Biosynthesis of Other Secondary Metabolites	386937.0	460926.0	535286.0	1177793.0	614144.0	659604.0	468441.0	558682.0	353487.0	331336.0	402555.0	503073.0	408091.0	280067.0	522312.0	598397.0	Metabolism; Biosynthesis of Other Secondary Metabolites
Cancers	37067.0	39222.0	47044.0	100394.0	57094.0	55854.0	43631.0	53069.0	36858.0	33611.0	38484.0	49065.0	42167.0	27314.0	47149.0	58244.0	Human Diseases; Cancers
Carbohydrate Metabolism	4539025.0	4682243.0	6470176.0	13324588.0	7033060.0	6619617.0	5564363.0	6139730.0	4246891.0	4002608.0	4580576.0	5822546.0	4240497.0	3295625.0	5420427.0	6907713.0	Metabolism; Carbohydrate Metabolism
Cardiovascular Diseases	22.0	3.0	59.0	4.0	60.0	8.0	16.0	16.0	2.0	49.0	2.0	9.0	10.0	8.0	12.0	124.0	Human Diseases; Cardiovascular Diseases
Cell Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	3.0	Cellular Processes; Cell Communication
Cell Growth and Death	208053.0	216792.0	282430.0	599823.0	327539.0	299143.0	265169.0	299038.0	200056.0	185823.0	204199.0	275202.0	218426.0	160177.0	257731.0	337506.0	Cellular Processes; Cell Growth and Death
Cell Motility	1460093.0	1713213.0	1071948.0	1377714.0	873558.0	2402823.0	996744.0	1093471.0	1127326.0	1028338.0	1590241.0	842005.0	1206260.0	862028.0	1554064.0	1239368.0	Cellular Processes; Cell Motility
Cellular Processes and Signaling	1638510.0	1764374.0	2383688.0	4987530.0	2664483.0	2531502.0	2009916.0	2336475.0	1580263.0	1470744.0	1683717.0	2191663.0	1653323.0	1165095.0	2095503.0	2612225.0	Unclassified; Cellular Processes and Signaling
Circulatory System	161.0	45.0	183.0	33.0	186.0	66.0	75.0	80.0	45.0	346.0	45.0	36.0	33.0	54.0	84.0	378.0	Organismal Systems; Circulatory System
