class	HA	HA	CR	CR	CR	HA	CR	CR	HA	HA	HA	CR	CR	HA	HA	CR
Amino_Acid_Metabolism	3948277	4069768	5414025	12004358	6335544	5877000	4853420	5534645	3693388	3473528	3963806	5198500	3867278	2795368	4888588	6304589
Biosynthesis_of_Other_Secondary_Metabolites	386937	460926	535286	1177793	614144	659604	468441	558682	353487	331336	402555	503073	408091	280067	522312	598397
Cancers	37067	39222	47044	100394	57094	55854	43631	53069	36858	33611	38484	49065	42167	27314	47149	58244
Carbohydrate_Metabolism	4539025	4682243	6470176	13324588	7033060	6619617	5564363	6139730	4246891	4002608	4580576	5822546	4240497	3295625	5420427	6907713
Cardiovascular_Diseases	22	3	59	4	60	8	16	16	2	49	2	9	10	8	12	124
Cell_Communication	0	0	0	0	0	0	0	1	0	34	0	0	0	0	0	3
Cell_Growth_and_Death	208053	216792	282430	599823	327539	299143	265169	299038	200056	185823	204199	275202	218426	160177	257731	337506
Cell_Motility	1460093	1713213	1071948	1377714	873558	2402823	996744	1093471	1127326	1028338	1590241	842005	1206260	862028	1554064	1239368
Cellular_Processes_and_Signaling	1638510	1764374	2383688	4987530	2664483	2531502	2009916	2336475	1580263	1470744	1683717	2191663	1653323	1165095	2095503	2612225
Circulatory_System	161	45	183	33	186	66	75	80	45	346	45	36	33	54	84	378
Digestive_System	11312	19407	18163	5869	11263	18830	15699	22269	14373	9659	11323	16883	28922	13772	20910	8815
Endocrine_System	113011	107739	143246	307159	173513	151266	134127	161109	104197	96702	105048	143550	121895	81892	135333	171697
Energy_Metabolism	2283343	2468206	3463961	8022525	4243464	3609949	3119191	3637195	2275115	2110761	2301559	3346455	2475876	1661295	3093171	4106155
Environmental_Adaptation	77858	86702	83253	157575	89045	126557	77503	84329	68947	62604	81695	75986	75509	50929	95141	103252
Enzyme_Families	955154	1014688	1301808	2721199	1458931	1353524	1061795	1334564	886442	827327	949163	1227998	924919	699251	1162283	1415662
Excretory_System	6246	4003	6108	2659	4497	3161	2969	3686	5003	9182	6810	6770	3734	5930	2918	4109
Folding,_Sorting_and_Degradation	931164	1023134	1308520	2822005	1533779	1442894	1165155	1383600	890557	846164	929644	1287910	1028682	717317	1236012	1502187
Genetic_Information_Processing	1068703	1098063	1440240	3284271	1742379	1572128	1365729	1545410	992544	951338	1073022	1446891	1076016	798626	1330826	1708085
Glycan_Biosynthesis_and_Metabolism	882027	955628	1070084	2125227	1208397	1206270	1018676	1249490	803116	749603	807220	1085376	963237	688261	1066635	1109186
Immune_System	35723	38840	47296	100054	55529	53916	42590	52376	35089	30417	36248	45441	40104	26276	46289	56260
Immune_System_Diseases	16299	21044	28653	50614	27309	30280	23579	24674	18812	16193	16719	23638	21772	12855	26070	26378
Infectious_Diseases	137643	155511	206369	434375	233073	215158	174726	209999	132558	127278	140522	196873	152744	108952	185931	224387
Lipid_Metabolism	1192384	1199573	1503546	3216885	1712729	1644070	1292540	1529536	1084098	1042306	1182272	1444360	1079915	871312	1376850	1752632
Membrane_Transport	6128895	5942500	8093759	18007180	9148352	8553131	7317270	7870205	5593035	5154003	6089870	7214593	4785707	4008148	6761266	9126873
Metabolic_Diseases	40123	41256	50937	102711	57676	57236	47659	53294	36492	36639	39130	51114	42139	32361	48478	59118
Metabolism	1030418	1054037	1446786	3001978	1609686	1422269	1192465	1417058	968534	929381	1049480	1320393	937285	743549	1205496	1557854
Metabolism_of_Cofactors_and_Vitamins	1680927	1807486	2466686	5483867	2897042	2674457	2282593	2554008	1619323	1496853	1659383	2370133	1834721	1194065	2253802	2881276
Metabolism_of_Other_Amino_Acids	601697	681184	797373	1635467	886480	925487	675978	814970	553420	541303	622518	757242	597712	446357	754932	886136
Metabolism_of_Terpenoids_and_Polyketides	611459	645574	904007	1892324	1027252	903161	807330	918634	607595	572041	607933	873444	680652	472813	800047	1002142
Nervous_System	41296	42959	57208	145497	75363	60018	51531	66076	40389	37152	41703	60428	43823	29873	54272	74033
Neurodegenerative_Diseases	45988	36705	41768	57114	38048	38885	31367	38940	36055	37833	39529	34253	24629	30033	31787	41927
Nucleotide_Metabolism	1672915	1744868	2247808	4743633	2575110	2327666	2009368	2367815	1574000	1502196	1633120	2220524	1691849	1294429	2039369	2521408
Poorly_Characterized	2024841	2097920	2721646	6003509	3172280	2916547	2443900	2850492	1880826	1761919	2000638	2628337	1954177	1473156	2459855	3104164
Replication_and_Repair	3624778	3803364	4771852	10190377	5580122	5186528	4355287	5124567	3414697	3231588	3612003	4772928	3785059	2802675	4487167	5557477
Sensory_System	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signal_Transduction	800484	856863	791663	1661319	913860	1206566	714522	840156	676401	660103	835920	743173	622893	506334	871185	977052
Signaling_Molecules_and_Interaction	66634	65659	89833	153995	89447	76374	71331	85061	60828	59617	62598	82911	59912	53293	70448	82907
Transcription	1320773	1336388	1787072	3914770	2029146	1829883	1502344	1784778	1231923	1143091	1356230	1652138	1161914	916340	1536320	2006340
Translation	2298030	2444897	3072412	6731150	3654733	3374669	2796125	3325353	2167171	2070410	2286236	3104369	2445678	1806582	2927415	3655680
Transport_and_Catabolism	128655	117656	113513	213017	125501	122617	92259	139983	103423	100857	107697	110314	93131	89039	110466	127119
Xenobiotics_Biodegradation_and_Metabolism	715053	630649	1023466	2011855	1108158	814548	837826	935360	671000	676387	687716	929327	574467	534052	739371	1033535
