otu	enrich_group	lda	p
Cell_Motility	HA	3.8883	0.0023
Signal_Transduction	HA	3.3284	8e-4
Lipid_Metabolism	HA	2.8076	0.0046
Environmental_Adaptation	HA	2.8032	0.0046
Metabolism_of_Other_Amino_Acids	HA	2.7516	0.0117
Transport_and_Catabolism	HA	2.6529	0.0063
Neurodegenerative_Diseases	HA	2.6406	0.0157
Energy_Metabolism	CR	3.5037	8e-4
Metabolism_of_Cofactors_and_Vitamins	CR	3.2439	0.0011
Amino_Acid_Metabolism	CR	3.1958	0.0016
Nervous_System	CR	2.8691	0.0033
Metabolism_of_Terpenoids_and_Polyketides	CR	2.8586	0.0016
Genetic_Information_Processing	CR	2.8474	0.0033
Poorly_Characterized	CR	2.7509	0.0033
Cellular_Processes_and_Signaling	CR	2.7298	0.0357
Infectious_Diseases	CR	2.6106	0.0274
