OTU	Genus	baseMean	log2FoldChange	pvalue	padj
849535	g__Prevotella	100.1377	-8.2476	5.9717e-17	6.3360e-14
4474380	g__Blautia	1102.2208	-7.1332	3.3772e-14	1.7916e-11
2774254	g__	529.7453	-7.4028	4.5136e-10	1.5963e-07
4412309	g__Blautia	32.2263	-5.8092	1.9565e-09	4.6348e-07
318760	g__Blautia	92.333	-9.2454	2.1842e-09	4.6348e-07
2740950	g__	563.2509	-5.7129	8.6387e-08	1.5276e-05
22371	g__	79.051	6.9364	1.4935e-07	2.2637e-05
827592	g__Ruminococcus	37.9265	3.725	1.9282e-07	2.5573e-05
1111512	g__	59.6905	6.0665	2.6577e-07	3.1332e-05
180999	g__	17.7749	-5.2709	4.1241e-07	4.3756e-05
176312	g__	113.1627	-4.979	7.5804e-07	7.3116e-05
178859	g__Ruminococcus	42.9821	3.879	8.7255e-07	7.7148e-05
4407278	g__Blautia	9.1297	-5.4829	9.5786e-07	7.8176e-05
230268	g__Ruminococcus	19.6811	5.8453	1.4181e-06	1.0747e-04
4296216	g__Ruminococcus	248.7073	-5.9397	1.7191e-06	1.1662e-04
135956	g__Lactobacillus	1144.7514	3.2136	1.7587e-06	1.1662e-04
131571	g__Blautia	9.1771	-4.4765	1.9271e-06	1.2027e-04
New.ReferenceOTU178	g__	8.8443	-6.945	2.9312e-06	1.6414e-04
New.ReferenceOTU89	g__	18.5885	-8.0223	2.9394e-06	1.6414e-04
New.ReferenceOTU66179	g__[Prevotella]	97.2543	-5.0329	3.9166e-06	2.0777e-04
278123	g__	107.1624	5.3974	4.6148e-06	2.3316e-04
203700	g__	35.2588	4.0548	5.5343e-06	2.6690e-04
4460560	g__Ruminococcus	8.8467	6.2292	6.9318e-06	3.0644e-04
68844	g__	30.8084	6.9358	6.6951e-06	3.0644e-04
1106830	g__Coprococcus	26.5536	4.1635	8.5091e-06	3.4806e-04
4440360	g__	38.9895	6.0205	8.5293e-06	3.4806e-04
164664	g__Lactobacillus	61.3947	3.0387	9.5390e-06	3.7485e-04
181675	g__Blautia	11.2208	-3.8499	1.1374e-05	4.3098e-04
229958	g__Oscillospira	9.23	6.291	1.2965e-05	4.5852e-04
New.ReferenceOTU39381	g__	10.6901	5.7625	1.2849e-05	4.5852e-04
New.ReferenceOTU9700	g__[Prevotella]	23.1998	-5.7235	1.5525e-05	5.0728e-04
181985	g__Roseburia	92.3262	6.5695	1.5674e-05	5.0728e-04
4420417	g__	77.8623	2.1238	1.5778e-05	5.0728e-04
269125	g__Lactobacillus	25.4521	3.4722	1.8414e-05	5.7461e-04
215266	g__Clostridium	12.6974	-5.2018	1.9797e-05	6.0012e-04
4391009	g__Sutterella	28.013	-6.821	2.1992e-05	6.4815e-04
10512	g__Desulfovibrio	147.1502	2.9657	2.5763e-05	7.3878e-04
New.CleanUp.ReferenceOTU4	g__	7.8043	5.6756	2.7774e-05	7.5560e-04
3998909	g__	274.275	3.8623	2.7229e-05	7.5560e-04
