"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Com_10034_pos",-0.014019,-0.025652,-0.0061772,0.0080229,-0.010457,0.022495,-0.015387,0.020378,-0.012208,0.026366,-0.02151,-0.033881,0.019191,0.048069,0.0095463,-0.0057332,0.014163,0.017732,-0.0364,0.07459
"Com_10039_pos",0.01272,-0.0066246,-0.016686,-0.024389,-0.0014955,0.010459,0.014479,-0.044224,0.038268,-0.0093821,0.026067,0.021404,-0.019273,0.041127,0.0151,0.022253,0.0095445,-0.028658,-0.022415,-0.066927
"Com_10045_pos",0.022462,0.028673,-0.0047908,-0.024278,-0.018834,0.00036188,0.0075089,0.024206,0.017131,-0.0005808,0.026128,0.0082005,0.013279,-0.021941,-0.0089438,0.0096819,0.015069,0.013943,0.0086437,-0.26804
"Com_10088_pos",0.015956,-0.0068466,-0.03702,-0.0069989,0.028824,0.0024277,0.008122,0.039947,0.033822,-0.016717,0.0073599,-0.022891,0.0060862,-0.0099535,-0.0063247,0.016475,-0.009168,-0.015065,-0.004993,-0.047583
"Com_10090_pos",0.031268,0.0024809,0.013153,-0.026485,-0.028786,-0.0077596,-0.014473,-0.016933,-0.012576,-0.017854,-0.011948,-0.0078998,0.0058578,-0.0015376,-0.0093715,-0.014408,-0.0049761,0.014035,0.0081097,-0.15431
"Com_10098_pos",-0.017243,-0.0026266,0.013053,-0.017106,-0.00098587,0.044544,0.010713,-0.037895,0.020346,-0.00085263,-0.012458,0.0056966,-0.050035,0.0018935,-0.00030188,0.0070626,-0.0099545,0.037353,0.025178,0.15848
"Com_10109_pos",0.031719,-0.01775,0.0012396,-0.0066469,-0.0061124,0.034934,-0.01149,-0.0070768,-0.0092631,-0.0050485,-0.026428,-0.022983,0.0025076,-5.085e-05,-0.01312,-0.010274,0.0076176,-0.0040373,-0.01143,0.11936
"Com_10111_pos",-0.0003212,-0.0040457,-0.0036833,0.010332,0.0004813,0.054486,-0.034069,0.020608,-0.00091206,0.024146,-0.015005,-0.042399,-0.015091,0.045865,0.004969,0.0070969,0.018217,-0.025191,0.019758,-0.056907
"Com_10114_pos",0.0023625,-0.0075715,0.00023284,-0.021227,-0.03739,-0.011717,-0.00047971,0.015305,0.030342,-0.030027,-0.032124,0.013228,-0.024143,-0.019293,-0.037445,-0.012759,0.052408,0.030464,-0.0013634,0.14016
"Com_10124_pos",-0.015,-0.0044045,0.0055541,-0.0070529,0.040681,0.017611,0.0049914,-0.025549,-0.0048404,-0.0014262,-0.054433,0.032226,0.033969,0.020722,0.020334,-0.0092863,0.012531,-0.012589,-0.0073422,-0.12006
"Com_10129_pos",0.015455,0.021688,0.0010305,0.0040549,-0.014014,-0.015035,0.040267,0.034542,0.039172,-0.0091712,-0.021241,-0.022882,-0.020467,-0.0070789,0.017958,0.0078239,-0.020098,0.0094654,-0.0078097,0.005708
"Com_1012_pos",-0.0043526,-0.017489,0.0071971,0.003648,0.025013,-0.03201,0.057607,-0.012013,-0.0062881,-0.032581,0.040359,-0.0077905,0.0021789,-0.0021073,0.0064399,-0.0016734,0.0018446,0.0064155,-0.0079107,-0.1061
"Com_10132_pos",0.021232,-0.026966,-0.0060535,0.0042988,0.0065312,0.017931,0.022458,0.0062047,0.021829,0.0037286,0.034749,-0.026415,-0.0034121,-0.020594,0.019672,-0.039875,0.0068362,0.0048625,-0.0079289,0.15475
"Com_10143_pos",-0.0076075,-0.04066,0.010983,-0.0076696,-0.028342,0.024008,0.0040703,0.012357,-0.0091008,-0.015352,-0.0045638,0.010916,0.0049993,-0.0084838,-0.008896,0.009813,-0.011147,-0.0070458,0.013775,0.099519
"Com_1014_pos",0.015673,-0.021551,-0.0018819,0.012913,-0.010767,0.03769,-0.0091695,0.029911,-0.037482,0.028335,0.026999,-0.0076222,-0.011258,-0.013672,-0.019234,-0.016113,0.0036836,-0.022866,0.0038539,0.0058967
"Com_10164_pos",-0.021722,-0.016427,0.017822,0.0044559,-0.0096652,0.045668,0.0026699,0.010392,-0.020033,0.016876,-0.021236,-0.027167,-0.014564,0.005496,0.0032571,-0.008877,0.04058,-0.00024481,0.012039,0.076796
"Com_10167_pos",-0.0011528,0.012832,0.058203,0.0042368,-0.0084554,-0.0073379,0.0098178,0.020039,-0.010322,-0.002105,-0.020439,0.031631,0.0043253,0.0045699,0.0051652,-0.0026798,0.0055775,-0.0015456,0.0015995,0.1417
"Com_10169_pos",-0.014808,-0.019948,0.011615,0.016083,-0.028084,0.048993,-0.0028172,0.0035798,-0.0050903,-0.022032,0.013821,-0.024801,-0.01625,-0.012327,-0.017332,0.016598,0.019229,-0.0097962,0.023513,-0.61046
"Com_10173_pos",-0.013322,0.0034672,0.027067,-0.030493,-0.0059318,0.0094692,0.00078774,-0.01395,0.014481,-0.030304,0.017963,-0.018537,0.019604,0.058994,-0.037125,-0.0085446,-0.0077429,-0.020546,-0.018273,0.48268
"Com_10184_pos",0.024575,-0.023496,-0.014555,-0.031108,0.0062069,-0.021602,0.0029507,0.010743,-0.0068779,0.026475,0.0090213,0.00653,0.013253,0.0045801,0.0034539,-0.018332,0.021103,-0.005194,-0.019848,0.0081946
"Com_1019_pos",0.013391,0.009209,-0.043242,-0.029508,0.014686,-0.0064858,0.019574,0.03783,0.016553,-0.0099286,-0.010249,-0.0031748,0.010479,0.0055295,0.0073547,0.0074749,-0.0099253,-0.011203,0.0007589,-0.0017787
"Com_10204_pos",0.021188,-0.014033,-0.02427,-0.030747,0.024154,0.021826,0.023835,0.0020922,-0.021652,0.014947,0.0022264,-0.0010601,-0.008368,0.0084704,-0.018049,0.018922,-0.0042768,-0.0025984,-0.029972,0.0064383
"Com_10210_pos",0.012596,-0.0049593,-0.014873,-0.024312,0.028199,0.0078461,0.0512,-0.0079008,-0.0294,0.021899,-0.011277,-0.012399,-0.025452,-0.0014692,-0.013167,0.029269,-0.024788,0.014614,0.015045,0.0026216
"Com_10219_pos",-0.019285,-0.0041359,0.029228,0.016669,0.0060503,0.0072934,0.022036,-0.033971,-0.0090776,-0.048083,-0.003724,-0.019876,0.0040648,0.013243,-0.015375,-0.036726,0.0030706,0.0042896,-0.013497,0.01262
"Com_1022_pos",0.021647,0.0022181,-0.0081739,-0.0080147,-0.0074992,-0.041346,0.005646,0.003046,0.03664,0.0096567,-0.035577,-0.0082426,0.019416,-0.0093503,-0.0060821,0.022792,0.049653,-0.027217,0.0092259,0.0011631
"Com_10241_pos",-0.032485,-0.017319,0.011507,-0.029953,-0.002,0.0080903,-0.014998,0.0033371,0.016737,0.0085323,0.016833,-0.0085396,0.00054734,0.00015902,0.0087087,-0.0090631,0.00064396,-0.0055252,0.00046138,0.00045361
"Com_10243_pos",0.03266,-0.0092567,-0.0081505,-0.0016045,-0.01172,-0.0084723,0.018805,-0.019801,0.018144,0.029997,-0.0045939,-0.0013622,-0.0044431,0.034905,0.016725,-0.017243,0.0054471,-0.017741,0.0036296,-0.0055105
"Com_10271_pos",-0.019076,0.0022556,-0.0066319,0.01825,0.010523,-0.034121,0.01316,-0.036675,-0.0087019,-0.039147,-0.037953,-0.015485,-0.01825,-0.026381,0.016003,-0.015399,-0.015278,0.011875,0.014637,0.0029491
"Com_1028_pos",0.0085081,0.026888,-0.016761,-0.024324,-0.035314,-0.020398,0.016531,-0.0096604,-0.021105,-0.018114,0.0043362,-0.0058901,-0.01762,-0.017098,0.027956,-0.013126,0.021059,0.010518,-0.017186,0.0081992
"Com_10296_pos",-0.020703,0.02077,0.042895,-0.0051167,0.0099802,0.014539,0.0093718,0.01118,0.0045742,-0.0020303,-0.0088162,0.035625,-0.0037673,-0.014618,-0.00098974,0.0026957,0.010254,-0.0030474,0.0019637,0.006401
"Com_10299_pos",0.025479,-0.016796,0.0056538,0.026619,-0.020422,0.035502,0.0074715,0.0021818,-0.0060961,-0.0089517,0.012763,-0.00044867,-0.000692,0.024617,0.032657,-0.020614,-1.1472e-05,0.0045782,0.014031,0.0069709
"Com_102_pos",-0.009709,-0.033812,0.0034479,-0.001789,-0.0098401,-0.0345,-0.017815,0.011799,-0.0071912,0.0057829,-0.015622,-0.00038133,-0.035285,0.040879,0.00077598,0.014069,-0.025027,-0.013762,0.018116,-0.0026171
"Com_10300_pos",0.006531,0.014589,-0.0065578,0.01246,0.015975,0.03962,0.032291,-0.019691,-0.013181,0.017281,-0.054529,0.0047951,0.046208,-0.0031912,-0.0016401,0.012143,-0.016561,-0.0049215,-0.01479,-0.0028114
"Com_1030_pos",0.022537,0.017962,0.03855,0.014464,-0.0033164,0.0030823,0.0072197,-0.0118,-0.015339,0.011898,-0.0012246,-0.019988,-0.016687,0.020135,0.023671,-0.0074007,-0.031859,0.0077916,0.0050745,-0.0080904
"Com_10310_pos",0.020335,-0.02768,0.016684,-0.00012042,0.020986,0.0082359,0.027783,1.2097e-05,0.0068482,-0.023204,0.020787,-0.018491,-0.0019914,0.019379,-0.0036596,-0.0057041,0.039412,-0.019966,-0.0061297,0.0081449
"Com_10312_pos",-0.019522,-0.025917,-0.0092374,-0.028127,0.024408,0.021825,0.010603,-0.003189,-0.001218,0.025928,-0.0013124,-0.0099126,0.017913,-0.025846,0.00034966,-0.015341,0.027957,-0.012265,0.0061491,0.02336
"Com_10314_pos",0.00077352,-0.015317,0.018253,-0.016379,0.038401,0.0062855,-0.018856,0.038775,-0.0084078,-0.0052934,-0.0041476,0.00088027,0.051596,-0.015734,0.020326,0.020194,0.013775,-0.035734,0.016616,-0.011098
"Com_10328_pos",0.005683,0.014692,-0.0063988,0.049015,0.010191,-0.016945,0.0060307,-0.018228,0.032201,0.016397,-0.0030745,-0.0055606,0.017044,-0.019625,-0.029197,-0.038784,-0.021436,0.023051,-0.00019483,-0.010018
"Com_10333_pos",0.0046297,0.015616,0.01851,-0.021038,-0.0023165,0.022859,0.01123,0.019684,-0.0077356,-0.034497,-0.072097,-0.023175,0.012116,0.002356,-0.0071481,-0.024905,0.0027799,-0.0050946,-0.0077618,-0.0081636
"Com_1034_pos",-0.02603,-0.0091996,-0.016511,0.035242,0.014703,-0.029818,-0.006729,-0.0061297,0.0034579,0.003543,-0.0084538,0.0014946,0.021148,-0.024326,-0.025497,0.0072142,-0.019053,-0.006071,-0.015915,-0.001941
"Com_10354_pos",-0.027666,-0.029769,0.019541,-0.016088,0.0017332,-0.0043201,-0.0032935,-0.010562,0.0080972,0.0047521,-0.005908,0.017164,-0.0090624,0.018611,-0.018479,-0.0092205,-0.0014538,0.0020084,0.0010054,-0.0036409
"Com_10374_pos",0.033341,0.011506,0.0082551,-0.01173,-0.0071994,0.0091376,0.012598,-0.0034593,0.046009,-0.0058051,0.010719,-0.0027799,-0.019992,0.00077661,-0.0083878,0.0091314,0.0027368,-0.0020043,0.00020911,0.0022463
"Com_10386_pos",0.025683,0.019989,0.030781,0.017992,-0.011987,-0.012288,-0.02396,0.0033175,0.0055596,0.022906,0.014811,0.0015722,-0.00032375,-0.0054815,0.0083341,-0.010192,-0.0035792,-0.021644,-0.008934,0.00099037
"Com_10396_pos",0.013366,0.025712,0.023519,0.032585,0.0072132,0.016338,-0.00087186,-0.01647,-0.021966,-0.015382,0.0020066,-0.023287,-0.0034217,0.023584,0.026574,0.019031,-0.028846,0.0056651,0.01194,-0.0049562
"Com_103_pos",0.03114,0.011109,0.017002,0.00049815,0.017628,-0.011583,-0.011983,-0.018548,0.013185,-0.015037,0.029646,0.0038605,-0.0013952,-0.002263,0.0028094,-0.0011682,-0.0075793,-0.047274,-0.012495,0.0018942
"Com_10401_pos",0.021496,-0.026229,0.025312,0.02403,0.0058945,-0.0002154,-0.018782,-0.010788,-0.018846,0.0016133,-0.02305,0.0066269,-0.022071,-0.018598,-0.0017114,-0.010062,-0.022567,0.0046448,-0.012501,-0.0084884
"Com_10406_pos",-0.012601,-0.024874,0.01133,0.0074185,-0.021883,0.0029602,0.0053007,-0.044292,0.016247,-0.010802,0.0079784,0.03469,0.015577,-0.0049462,0.033111,0.022228,0.023987,-0.02013,-0.032486,0.0060731
"Com_10408_pos",-1.1526e-05,0.026836,-0.026208,-0.020821,-0.0054115,0.01293,0.017008,0.011541,-0.031521,-0.0095762,-0.019007,0.040228,0.0069988,0.02644,0.034597,-0.0029491,0.024702,-0.010885,0.011463,0.00021384
"Com_10415_pos",0.0061824,-0.020423,0.0024484,0.0026534,0.015178,-0.02429,0.032025,0.01019,-0.016163,-0.010594,0.063614,0.019131,-0.00021736,0.043248,0.011248,0.027288,-0.0039509,0.01346,0.016459,0.0039673
"Com_10436_pos",-0.031182,-0.012667,-0.015648,0.010069,0.032346,-0.0062955,0.0061703,0.01863,-0.0065618,-0.0074752,0.0015385,-8.4193e-08,0.007205,-0.011044,-0.0072233,0.01213,0.019279,-0.014505,0.03203,-0.0085902
"Com_10450_pos",-0.0059133,-0.016199,0.0027604,0.00089123,0.02604,-0.029224,0.060292,-0.017975,0.0030788,-0.031263,0.038867,0.0016272,0.0048115,0.0041035,-0.0068199,0.00028444,0.0085756,0.0040232,-0.00030261,0.014136
"Com_1045_pos",-0.018608,0.011887,0.040459,-0.024558,0.021392,-0.0026471,-0.0020265,-0.0011855,-0.031179,0.00051872,0.027473,-0.0043198,-0.00061333,0.0066186,-0.021643,0.0057143,-0.0143,-0.014685,-0.0073035,-0.00012645
"Com_10465_pos",0.035393,-0.019133,-0.0058228,0.0014465,0.0029391,-0.0052235,0.025183,-0.0080682,-0.0049077,-0.0030099,0.020947,-0.0033048,0.017142,-0.0044376,0.0049002,-0.0052031,0.0048957,0.0075274,0.0095971,-0.005377
"Com_10478_pos",0.017518,-0.006651,0.011851,-0.00012571,0.0012563,-0.033203,0.032135,0.027049,0.014641,-0.0016918,-0.022716,-0.0075696,0.044227,0.0017225,0.030893,0.021652,0.053564,0.00044484,-0.0093993,0.0013071
"Com_10480_pos",0.019472,-0.019363,0.024629,-0.0055684,-0.00088013,-0.0034053,0.013136,0.033399,0.0027845,0.031505,0.0066105,0.012829,-0.0063247,-0.0067216,-0.036186,0.015596,-0.034685,0.022848,-0.039207,-0.014992
"Com_10485_pos",0.034008,-0.0069097,0.0037747,-0.018644,0.0049781,-0.02852,-0.01109,0.013632,-0.0076685,0.021205,0.013744,-0.0038436,0.017948,0.023496,-0.00098509,0.015179,-0.0040164,0.0030555,0.00078069,0.0055449
"Com_10500_pos",0.0014808,-0.027034,-0.016719,-0.033051,-0.010125,-0.0055486,0.0086448,0.014808,-0.0012198,-0.042619,-0.044878,0.023783,0.002667,-0.012198,-0.0054414,-0.0089625,-0.00058173,-0.013964,0.020157,-0.013298
"Com_10501_pos",0.031399,-0.00016629,0.024403,0.0086052,-0.0088246,-0.025416,-0.0017428,0.00076665,0.011087,0.0018073,0.016296,-0.037475,-0.0076486,0.0082689,-0.0060011,0.017685,0.013656,0.0092174,0.026927,0.0030602
"Com_10502_pos",-0.00734,0.017056,0.02606,-0.014492,-0.045103,0.0068536,0.03045,0.018075,0.01842,-0.0089872,0.0044582,-0.0052722,-0.0028688,0.013025,0.0094531,0.0028944,0.024125,0.026073,0.039451,-0.0020834
"Com_10505_pos",-0.023997,-0.0242,0.0034839,-0.0060138,0.0034139,0.027016,-0.0080518,-0.00533,-0.030795,-0.0059991,-0.031492,-0.022604,0.0091625,-0.032317,0.015677,-0.0039633,0.014839,0.020668,-0.013604,-0.0041343
"Com_10510_pos",-0.035225,-0.003527,0.0026371,-0.022115,0.0018833,0.014523,-0.012092,0.0063144,0.016854,0.01043,0.010081,-0.0083632,0.018635,0.026366,0.020576,-0.0074676,-0.013421,0.013477,0.0037305,-0.0085659
"Com_10523_pos",-0.01612,0.0073576,0.024312,-0.013744,0.043613,-0.0056121,-0.03544,0.0046636,0.012912,0.022644,-0.010799,0.030669,0.021484,0.0056169,0.011112,0.015193,-0.0005742,-0.013403,-0.014,-0.0013794
"Com_10539_pos",-0.007497,-0.028398,0.0042284,-0.010782,0.011626,-0.006643,-0.025807,-0.0066749,-0.01628,-0.018511,-0.00762,-0.031527,-0.023838,0.028583,-0.033321,0.05689,9.8159e-05,0.014471,-0.022894,0.0016305
"Com_10541_pos",0.026742,0.0083392,0.0065144,0.010853,0.021471,0.038261,0.013029,-0.00054117,-0.011761,-0.028808,0.013921,0.018202,-0.020371,-0.023203,-0.01096,0.02949,-0.017382,-0.0042855,0.004547,0.010552
"Com_10543_pos",-0.0009715,-0.023345,-0.024764,0.025714,0.037623,0.021837,0.0029005,0.02725,0.0058384,-0.03311,0.0061053,-0.019763,-0.0015181,-0.021113,-0.0022268,-0.0032943,-0.0053838,0.0050625,0.009064,0.003216
"Com_10557_pos",0.02509,-0.0073364,0.033147,0.0089235,0.0050748,-0.010909,0.020912,-0.016537,-0.018082,0.014083,-0.029782,0.023095,-0.013851,-0.0080499,-0.0032075,-0.025178,0.012872,-0.022513,0.025419,0.0054197
"Com_10567_pos",-0.014295,-0.020173,0.00094785,0.020939,0.036297,-0.017409,0.0063415,0.014846,-0.02133,-0.022645,0.0072413,-0.0018014,-0.013331,-0.0324,0.019868,0.01088,-0.0053062,0.055951,0.012908,0.0052264
"Com_10571_pos",-0.014429,-0.028477,0.003804,-0.00015037,0.023655,0.010689,0.0095111,0.036473,0.030894,0.012624,-0.018096,-0.029976,-0.016941,0.021976,-0.008112,-0.0072645,-0.028669,0.013914,0.0055247,0.011283
"Com_1057_pos",-0.003836,0.0014073,-0.011596,0.040296,0.016271,-0.024448,-0.0018409,-0.026425,0.0291,0.047936,0.012966,0.011779,-0.0033995,-0.0045657,-0.016766,-0.018139,-0.048151,-0.0058141,-0.0011011,-0.011489
"Com_10580_pos",0.029867,-0.020198,-0.0061015,-0.010095,0.003608,0.0067014,-0.0029282,0.010051,0.029993,-0.019496,-0.020948,-0.022607,-0.0056797,-0.012697,-0.031927,-0.019524,-0.006435,-0.0042244,-0.010224,0.00094682
"Com_10591_pos",0.019846,-0.033587,-0.0047165,-0.025,0.011572,0.010131,0.025601,0.012247,-0.0077798,0.0011643,-0.013256,-0.0032941,-0.00076413,0.0161,-0.016129,-0.014699,0.011493,0.023943,-0.0081483,-0.016307
"Com_10593_pos",0.02622,-0.027631,0.014538,-0.00406,-0.0059096,0.0036772,0.022271,0.0066286,0.038122,-0.001258,-0.0084433,0.015408,0.014647,-0.014019,0.0051332,0.007418,-0.011977,-0.0030151,-0.0085465,-0.0058568
"Com_10594_pos",-0.023128,-0.011013,0.015887,-0.028811,0.019852,-0.0018525,-0.049683,-0.01067,0.0019089,0.0075821,-0.018844,-0.011743,-0.01436,-0.011383,-0.0010451,-0.0009344,-0.016272,-0.0075588,-0.01744,-0.0047058
"Com_10595_pos",-0.019898,0.0018535,0.018163,-0.013264,-0.009235,-0.014667,-0.019661,0.02327,-0.04018,0.010048,0.026398,0.013555,-0.010835,-0.026831,-0.051213,0.026406,0.022299,-0.0030934,-0.016279,-0.021299
"Com_10596_pos",0.032152,0.0061489,-0.017845,-0.008223,0.0083172,0.01722,-0.01963,0.0072661,0.011747,-0.0091273,0.0046436,-0.028866,0.018947,-0.0055969,0.015485,-0.011613,-0.012901,0.030293,-0.03057,0.0028731
"Com_10600_pos",-0.012798,-0.02326,0.028606,0.0053282,0.0077389,-0.0064035,0.0091472,-0.0073796,0.048341,0.02562,-0.010779,0.030005,0.010237,0.011099,0.012631,-0.030536,0.01643,-0.025085,0.0015121,-0.0014777
"Com_10601_pos",-0.032461,0.0013145,-0.015623,-0.0041234,0.032119,-0.0083444,0.013973,-0.0044776,0.004154,0.012618,-0.005536,0.0085549,0.020677,0.017749,0.024285,0.014768,-0.016842,0.0057813,-0.018501,-0.0023283
"Com_10606_pos",0.033845,-0.026088,0.0049978,0.0017917,-0.0035423,-0.0045611,-0.011129,-0.0090683,0.014105,0.012138,-0.0074762,0.00736,-0.010421,0.0091643,0.011769,0.00047099,-0.0088575,0.00081133,-0.0047056,0.0047073
"Com_10609_pos",-0.0043102,0.0094543,0.022965,0.0050067,-0.010386,0.010208,0.028691,0.048876,-0.0090676,0.041664,-0.011801,-0.028656,-0.018753,-0.025151,0.019576,-0.012585,-0.04659,-0.0065465,0.01204,-0.0021
"Com_10617_pos",0.02831,0.0075532,0.019258,0.038917,0.0091969,0.014555,0.0017181,0.0070998,0.015513,-0.014809,0.0007513,0.008932,0.022623,0.0097959,0.0053271,-0.016974,0.020321,-0.0033938,0.0064158,-0.0040349
"Com_10618_pos",0.02579,0.012342,-0.0075481,-0.011823,0.029514,0.015068,0.0059363,-0.023569,-0.035432,0.0035973,0.0045086,0.018371,-0.03379,0.023063,-0.010008,0.001993,0.023354,0.0076181,0.004915,0.00072425
"Com_1063_pos",-0.0065658,-0.023003,-0.013276,0.047491,0.010593,-0.026823,0.020801,-0.0095033,-0.004603,0.011196,0.018814,0.004051,-0.013324,0.0018597,0.018022,0.012317,-0.027243,-0.0029212,0.029061,0.0025154
"Com_10641_pos",0.00042423,-0.0057727,0.011071,-0.011178,-0.0067413,0.037796,0.021832,0.018343,0.029019,0.054869,-0.0099454,0.035184,-0.032453,-0.0035119,-0.0077991,0.019299,0.012787,-0.017747,0.044882,0.0059915
"Com_10643_pos",0.0309,-0.0073652,0.013092,0.02656,-0.027657,0.006026,-0.00023139,0.0097211,-0.017047,-0.032279,0.0059983,-0.004184,0.01263,0.0029403,0.0010001,0.0034722,0.0028624,-0.010509,0.0069342,-0.0087601
"Com_10645_pos",-0.029312,-0.0086588,0.009919,-0.0095517,0.026012,0.032466,0.0091403,0.0013821,0.0050927,0.0096215,-0.01023,-0.0056526,0.028606,-0.025002,-0.011218,0.0072575,-0.0016616,-0.017772,0.036664,-0.0010406
"Com_1064_pos",-0.0089239,-0.022037,0.022969,-0.029479,-0.013692,0.020919,-0.032719,0.0083696,0.016308,-0.040671,0.026212,0.018077,0.0049384,0.00030446,0.003244,0.0086583,-0.0084275,0.018907,0.010655,-0.011705
"Com_10652_pos",0.017887,-0.021075,-0.00095383,-0.03544,-0.018593,0.0080654,0.0043605,-0.037214,-0.016079,-0.001434,-0.024914,0.0092247,-0.025172,-0.016918,0.0045129,-0.01906,0.028266,-0.0032164,0.0090453,0.0044319
"Com_10655_pos",0.022433,-0.035436,0.025568,0.0047164,-0.015348,0.00083747,0.0090968,-0.00039575,0.0064438,5.5492e-05,0.0014988,0.0034343,-0.0049266,-0.0047565,-0.011369,-0.012928,-0.0078663,-0.014838,0.0069845,0.0086259
"Com_10662_pos",-0.017372,0.0093881,0.0035895,-0.0049004,0.039709,-0.0044439,0.013528,-0.031371,-0.025532,-0.017422,-0.048916,0.013308,0.02045,0.0022847,0.026877,-0.019367,-0.014764,-0.011158,0.00012908,-0.0088686
"Com_10667_pos",0.0097845,0.0023463,0.051655,0.020068,-0.016266,-0.01956,0.0090834,0.012679,-0.021276,-0.019484,-0.029176,0.010705,0.0015347,0.0052354,0.002505,0.0077691,-0.010052,-0.0080859,-0.013466,-0.0051953
"Com_10680_pos",0.027532,0.020794,0.01076,0.041179,0.009521,-0.0011039,0.00070172,0.014982,0.0038527,0.0077571,-5.5115e-05,-0.0032112,0.012439,0.015272,0.00011508,-0.0019223,-0.0092608,-0.010214,0.0045843,0.0040464
"Com_10706_pos",0.0078156,0.013971,0.026011,-0.013278,0.035661,-0.0062929,-0.010928,-0.023451,0.015286,-0.02888,-0.0069841,-0.0061526,-0.021306,0.0025767,-0.0378,-0.04007,0.041359,-0.013679,-0.0079989,0.0026954
"Com_10718_pos",0.031473,0.004633,-0.020585,-0.027969,0.012178,0.015005,0.014178,-0.0024215,-0.020074,0.016073,-0.0012981,0.0044496,0.00061141,0.0082983,-0.0029936,0.01653,0.0085335,-0.016594,0.026055,0.0035772
"Com_10721_pos",-0.017226,-0.035856,-0.023045,-0.018438,-0.0083916,-0.018285,0.010595,0.018158,0.0099508,-0.016173,0.0047277,0.0072857,0.0013782,0.0054547,-0.014478,-0.0039468,0.0036645,0.0022261,-0.013362,-0.0015777
"Com_10746_pos",0.02115,-0.026344,-0.0067975,0.0083895,0.0050912,-0.040338,-0.0223,0.0099943,-0.010921,-0.031237,-0.015581,0.0066161,-0.0051223,-0.0089706,0.024931,0.011366,-0.0059837,0.0062579,-0.015085,0.0085159
"Com_10760_pos",-0.014381,0.0048647,0.0018271,0.0011122,0.045298,0.012376,0.012819,-0.031908,-0.015013,-0.0089506,-0.047892,0.0099873,0.035825,0.013294,0.026454,0.0020953,-0.014208,-0.017793,0.013203,-0.00097003
"Com_1078_pos",0.028411,0.021001,0.0019134,-0.029318,0.0056454,0.0013212,-0.016966,0.00030084,-0.010673,-0.0029527,-0.026094,-0.026863,0.021217,0.0090751,0.0028057,-0.018819,0.0026277,-0.01041,-0.010081,0.0085898
