"","Overall"
"Com_20510_pos",100
"Com_8416_pos",99.995
"Com_13231_pos",99.724
"Com_316_pos",98.306
"Com_19580_pos",97.338
"Com_15007_pos",96.741
"Com_6471_pos",96.524
"Com_12192_pos",96.415
"Com_7390_pos",96.371
"Com_1320_pos",95.962
"Com_635_pos",95.656
"Com_19929_pos",95.447
"Com_21525_pos",94.207
"Com_1513_pos",94.061
"Com_16736_pos",93.844
"Com_675_pos",93.509
"Com_535_pos",93.064
"Com_1848_pos",93.059
"Com_7406_pos",91.748
"Com_1425_pos",91.017
"Com_1708_pos",90.91
"Com_18485_pos",90.83
"Com_18889_pos",90.325
"Com_14770_pos",88.728
"Com_2928_pos",88.582
"Com_8541_pos",88.188
"Com_3296_pos",87.96
"Com_7045_pos",86.826
"Com_5453_pos",86.813
"Com_24113_pos",85.993
"Com_22090_pos",85.887
"Com_19667_pos",85.655
"Com_2217_pos",85.169
"Com_7048_pos",85.129
"Com_19643_pos",85.087
"Com_12279_pos",84.476
"Com_9704_pos",84.447
"Com_12011_pos",84.199
"Com_18807_pos",83.761
"Com_6332_pos",83.469
"Com_3041_pos",82.973
"Com_3252_pos",82.448
"Com_6910_pos",81.82
"Com_6958_pos",81.753
"Com_85_pos",81.128
"Com_2186_pos",81.014
"Com_2433_pos",80.698
"Com_6461_pos",80.579
"Com_4995_pos",80.071
"Com_3586_pos",79.585
"Com_12118_pos",79.165
"Com_12321_pos",79.008
"Com_17666_pos",78.716
"Com_2440_pos",78.61
"Com_6888_pos",78.533
"Com_11378_pos",78.391
"Com_6487_pos",78.298
"Com_18682_pos",78.031
"Com_9266_pos",77.908
"Com_18009_pos",77.86
"Com_11495_pos",77.819
"Com_5543_pos",77.754
"Com_18498_pos",77.456
"Com_2479_pos",77.284
"Com_2242_pos",77.239
"Com_20421_pos",77.14
"Com_15666_pos",77.039
"Com_2862_pos",76.814
"Com_14162_pos",76.8
"Com_16807_pos",76.546
"Com_5769_pos",76.463
"Com_1045_pos",76.337
"Com_23961_pos",76.279
"Com_10167_pos",76.081
"Com_1681_pos",75.97
"Com_23430_pos",75.9
"Com_8882_pos",75.763
"Com_3029_pos",75.758
"Com_1423_pos",75.757
"Com_9204_pos",75.706
"Com_1149_pos",75.674
"Com_12381_pos",75.618
"Com_20393_pos",75.439
"Com_2691_pos",75.265
"Com_5087_pos",75.155
"Com_5338_pos",75.024
"Com_10853_pos",74.934
"Com_9243_pos",74.662
"Com_2563_pos",74.607
"Com_23703_pos",74.369
"Com_13645_pos",74.33
"Com_3510_pos",74.132
"Com_22209_pos",74.093
"Com_13129_pos",74.039
"Com_7496_pos",74.02
"Com_4865_pos",73.786
"Com_19621_pos",73.515
"Com_21994_pos",73.432
"Com_12658_pos",73.231
"Com_20293_pos",73.007
"Com_24175_pos",72.872
"Com_3035_pos",72.73
"Com_4858_pos",72.726
"Com_24465_pos",72.715
"Com_19692_pos",72.708
"Com_1534_pos",72.686
"Com_10667_pos",72.602
"Com_14992_pos",72.444
"Com_5222_pos",72.065
"Com_8869_pos",72.045
"Com_5209_pos",72.039
"Com_16925_pos",71.667
"Com_8983_pos",71.629
"Com_3630_pos",71.625
"Com_23577_pos",71.613
"Com_23732_pos",71.611
"Com_23087_pos",71.566
"Com_24116_pos",71.312
"Com_1030_pos",71.181
"Com_18568_pos",71.057
"Com_9469_pos",70.842
"Com_7838_pos",70.724
"Com_1518_pos",70.68
"Com_6932_pos",70.672
"Com_3139_pos",70.356
"Com_2360_pos",70.263
"Com_7396_pos",70.245
"Com_17155_pos",70.158
"Com_9801_pos",70.014
"Com_1283_pos",69.987
"Com_3441_pos",69.902
"Com_5246_pos",69.804
"Com_22030_pos",69.696
"Com_7483_pos",69.674
"Com_7140_pos",69.655
"Com_10501_pos",69.634
"Com_4802_pos",69.458
"Com_4475_pos",69.428
"Com_3462_pos",69.193
"Com_21352_pos",69.102
"Com_13482_pos",69.057
"Com_14471_pos",68.644
"Com_15933_pos",68.498
"Com_11206_pos",68.413
"Com_18863_pos",68.394
"Com_5456_pos",68.286
"Com_16975_pos",68.279
"Com_10386_pos",68.227
"Com_16729_pos",68.151
"Com_4648_pos",68.076
"Com_7581_pos",68.068
"Com_18306_pos",68.032
"Com_14685_pos",68.03
"Com_16589_pos",67.734
"Com_12726_pos",67.732
"Com_20079_pos",67.616
"Com_3229_pos",67.458
"Com_2995_pos",67.341
"Com_5425_pos",66.933
"Com_1837_pos",66.899
"Com_15231_pos",66.842
"Com_6276_pos",66.839
"Com_6012_pos",66.751
"Com_4439_pos",66.621
"Com_21740_pos",66.57
"Com_11039_pos",66.552
"Com_20412_pos",66.456
"Com_7311_pos",66.402
"Com_11789_pos",66.393
"Com_4941_pos",66.311
"Com_14397_pos",66.164
"Com_3985_pos",66.06
"Com_17464_pos",65.839
"Com_17956_pos",65.838
"Com_607_pos",65.757
"Com_5009_pos",65.677
"Com_853_pos",65.501
"Com_8447_pos",65.382
"Com_19439_pos",65.364
"Com_6919_pos",65.321
"Com_15496_pos",65.298
"Com_4362_pos",65.206
"Com_8783_pos",64.934
"Com_17499_pos",64.769
"Com_12696_pos",64.532
"Com_18047_pos",64.464
"Com_5827_pos",64.267
"Com_19823_pos",64.256
"Com_4967_pos",64.239
"Com_1897_pos",64.006
"Com_856_pos",63.992
"Com_6955_pos",63.917
"Com_7785_pos",63.904
"Com_7536_pos",63.726
"Com_21137_pos",63.696
"Com_23047_pos",63.596
"Com_3233_pos",63.557
"Com_14906_pos",63.491
"Com_1777_pos",63.439
"Com_8503_pos",63.126
"Com_23644_pos",63.01
"Com_12368_pos",63.004
"Com_9492_pos",62.679
"Com_6951_pos",62.666
"Com_16497_pos",62.654
"Com_7600_pos",62.603
"Com_23689_pos",62.509
"Com_20134_pos",62.476
"Com_22184_pos",62.368
"Com_20417_pos",62.272
"Com_18030_pos",62.157
"Com_2172_pos",61.904
"Com_19_pos",61.897
"Com_24568_pos",61.876
"Com_2891_pos",61.86
"Com_21828_pos",61.799
"Com_12574_pos",61.689
"Com_18333_pos",61.603
"Com_16591_pos",61.485
"Com_21309_pos",61.247
"Com_13846_pos",61.051
"Com_14726_pos",60.783
"Com_9677_pos",60.663
"Com_21434_pos",60.618
"Com_22062_pos",60.472
"Com_12933_pos",60.449
"Com_24839_pos",60.393
"Com_9500_pos",60.392
