"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Com_10034_pos",0.025997,-0.012932,-0.019753,0.015557,-0.022396,-0.0048636,-0.0070483,-0.023201
"Com_10039_pos",0.00094396,0.017885,-0.0070316,0.011372,0.0058337,-0.047244,0.011393,0.021975
"Com_10045_pos",-0.032548,0.020298,0.0036578,-0.024574,0.028485,-0.018004,0.020547,0.0019858
"Com_10088_pos",0.010225,0.025056,-0.035285,-0.0073509,0.0078325,-0.0091386,0.017878,-0.022548
"Com_10090_pos",-0.043243,0.019452,-0.016017,0.0093797,0.022041,-0.014848,0.0037972,0.011291
"Com_10098_pos",0.011503,-0.015077,0.037509,0.017963,-0.015034,-0.040031,0.024856,0.0081603
"Com_10109_pos",-0.01895,0.031215,-0.019174,0.027912,-0.013122,-0.013492,0.020944,-0.019462
"Com_10111_pos",0.0095566,0.0054262,0.0041517,0.0025771,-0.023232,0.006247,0.044542,-0.020834
"Com_10114_pos",-0.0038472,-0.00049533,0.0012266,0.021524,0.044757,-0.001102,-0.0048253,0.00066203
"Com_10124_pos",0.016738,-0.0092516,0.033457,0.018839,-0.0028367,-0.018183,-0.010893,-0.018162
"Com_10129_pos",-0.021241,0.016019,0.00832,-0.020191,-7.7408e-05,-0.0098762,-0.024947,0.022456
"Com_1012_pos",0.0029173,-0.011527,-0.025287,0.0075874,-0.02139,0.0054049,0.0030934,0.015968
"Com_10132_pos",-0.0031388,0.020516,-0.040145,0.01982,-0.035921,-0.011241,0.025041,0.0059136
"Com_10143_pos",0.0127,-0.014935,-0.023451,0.043884,-0.013358,-0.0047454,0.019419,-0.0048958
"Com_1014_pos",-0.0010604,0.01606,-0.026315,0.018769,-0.02313,0.019731,0.040755,-0.032917
"Com_10164_pos",0.017523,-0.023597,0.016149,0.021591,-0.027783,0.0021201,0.037477,-0.012602
"Com_10167_pos",-0.039445,-0.019003,0.037195,0.0098302,-0.0079907,0.022983,-0.021674,-0.0057748
"Com_10169_pos",0.017657,-0.015352,0.0012906,0.018226,-0.037534,0.013048,0.051923,-0.0020316
"Com_10173_pos",-0.014172,-0.027154,0.013513,0.0044367,0.0052216,-0.01879,0.031024,-0.0092334
"Com_10184_pos",-0.012467,0.018892,-0.048518,0.022984,0.02877,-0.0186,-0.0018919,-0.0074049
"Com_1019_pos",0.0060576,0.023286,-0.020697,-0.018228,0.039747,-0.03127,0.011468,-0.014564
"Com_10204_pos",-0.00041297,0.026313,-0.024828,0.015471,0.0092522,-0.041325,0.024183,-0.03923
"Com_10210_pos",-0.00046981,0.017255,-0.0063194,0.0091994,0.0057748,-0.035479,0.021665,-0.0061871
"Com_10219_pos",0.0045332,-0.024529,0.022972,0.0085745,-0.034661,0.013579,0.0084817,0.00099861
"Com_1022_pos",-0.016673,0.021983,-0.0092227,0.0065505,0.039092,0.0072284,-0.021256,0.04152
"Com_10241_pos",0.017753,-0.043437,-0.0055501,0.013193,0.0041612,-0.023291,0.01954,-0.0013609
"Com_10243_pos",-0.017246,0.035592,-0.017159,0.017654,0.0021046,-0.013625,-0.0083939,0.040141
"Com_10271_pos",0.022387,-0.013744,0.0095378,-0.0088697,4.7079e-05,0.013328,-0.032007,0.032032
"Com_1028_pos",-0.015007,0.0084756,-0.0025556,-0.032279,0.034112,-0.029247,-0.00371,0.021
"Com_10296_pos",-0.014726,-0.029686,0.05667,-0.0015323,-0.0052246,0.003583,0.0012708,-0.018313
"Com_10299_pos",-0.011125,0.02715,-0.017952,0.017576,-0.047127,0.0080531,0.017469,0.0079651
"Com_102_pos",0.012404,-0.01872,-0.035325,0.029288,0.015505,0.021043,-0.025273,0.011781
"Com_10300_pos",0.0062339,0.022617,0.042376,-0.0012699,-0.023,-0.025404,-0.0061908,-0.0084462
"Com_1030_pos",-0.046705,0.011488,0.015386,-0.0074875,-0.034688,0.0064468,-0.011257,0.016017
"Com_10310_pos",-0.016969,0.011842,-0.028109,0.032336,-0.028002,0.0078934,0.033658,-0.0059665
"Com_10312_pos",0.02854,-0.018802,-0.0091718,0.025005,0.002864,-0.028889,0.037986,-0.010107
"Com_10314_pos",-0.012509,-0.012365,-0.020578,0.014864,-0.0047013,0.0084041,0.023949,-0.032449
"Com_10328_pos",0.0070328,0.019389,0.022846,-0.014501,-0.019365,0.035355,-0.036676,0.024344
"Com_10333_pos",-0.022047,0.00017927,0.029544,0.0017948,0.011156,-0.017732,0.010471,-0.02739
"Com_1034_pos",0.041491,-0.016024,-0.00038678,-0.0044948,-0.0045735,0.034754,-0.040913,0.0035204
"Com_10354_pos",0.018604,-0.037065,0.00092127,0.037486,0.0055461,-0.0033473,-0.003276,-0.0024303
"Com_10374_pos",-0.037184,0.031054,0.0040003,0.0024694,0.00081561,-0.018504,0.011139,0.014883
"Com_10386_pos",-0.046841,0.01562,0.0083583,-0.011034,-0.011878,0.026987,-0.021093,0.012058
"Com_10396_pos",-0.027593,0.011859,0.02218,-0.025395,-0.04766,0.016886,-0.00043183,0.0068104
"Com_103_pos",-0.042014,0.023202,-0.007196,-0.0047606,-0.0070221,0.0092285,0.0024631,0.0037492
"Com_10401_pos",-0.019015,0.014109,-0.01748,0.036073,-0.030727,0.026293,-0.031179,-0.013307
"Com_10406_pos",0.01557,-0.014742,-0.0014905,0.028028,-0.02507,-0.014887,-0.023908,0.031557
"Com_10408_pos",0.0055051,0.011429,0.022661,-0.024508,0.035746,-0.025362,0.015274,-0.012924
"Com_10415_pos",-0.0036218,-0.0018472,-0.039784,0.0088983,-0.014055,0.013985,0.011023,0.0049782
"Com_10436_pos",0.042321,-0.024478,-0.0019366,0.00031486,0.0033515,0.02577,0.019931,-0.010282
"Com_10450_pos",0.0079044,-0.0095072,-0.016681,0.01034,-0.012939,0.0034794,0.008967,0.018943
"Com_1045_pos",-0.021971,-0.037733,0.019095,-0.0061447,0.00047442,-0.00024438,0.022421,-0.02766
"Com_10465_pos",-0.019242,0.033893,-0.038952,0.018992,-0.013362,-0.0022711,0.011417,0.015704
"Com_10478_pos",-0.02276,0.0090533,-0.018777,0.0097299,0.0016269,0.0069122,-0.02417,0.023097
"Com_10480_pos",-0.02689,0.0070276,-0.018655,0.030005,-0.010176,-0.0012417,-0.026265,-0.03157
"Com_10485_pos",-0.037383,0.022347,-0.040591,0.0079255,0.018479,0.00021149,-0.0082618,0.00035495
"Com_10500_pos",0.012449,0.0011418,-0.024152,0.032945,0.04132,-0.017942,0.0073322,-0.0079771
"Com_10501_pos",-0.044473,0.017819,-0.022817,0.0037965,-0.0098844,0.026304,0.0030156,0.034092
"Com_10502_pos",-0.019935,-0.017057,0.026603,-0.0067434,0.0054673,-0.010546,0.023726,0.036705
"Com_10505_pos",0.026391,-0.026139,-0.0063536,0.019336,-0.020353,-0.015763,0.0087723,-0.022417
"Com_10510_pos",0.023526,-0.039615,0.0069807,-0.0042957,-0.00099801,-0.02822,0.012666,-0.0025161
"Com_10523_pos",-0.0068137,-0.02473,0.023665,0.0014009,0.0076125,-0.00029175,-0.021514,-0.02979
"Com_10539_pos",0.0081285,-0.01639,-0.032162,0.022147,-0.00067548,0.0029701,-0.0012174,-0.028893
"Com_10541_pos",-0.022071,0.030769,0.010078,0.00034139,-0.029121,0.00086221,0.027535,-0.033232
"Com_10543_pos",0.031306,0.010038,-0.028568,0.0063018,-0.031726,0.020725,0.023769,-0.034693
"Com_10557_pos",-0.033936,0.017835,0.012964,0.033113,-0.0041294,0.023621,-0.0089527,0.018489
"Com_10567_pos",0.019579,-0.016775,-0.024233,0.0044082,-0.025945,0.026035,-0.015273,-0.019047
"Com_10571_pos",0.020706,-0.016756,-0.014151,0.025271,-0.018317,-0.0011392,0.0022432,-0.017614
"Com_1057_pos",0.020366,0.0087834,0.011242,-0.0050024,-0.01468,0.025369,-0.045138,0.030773
"Com_10580_pos",-0.014782,0.029077,-0.028863,0.027202,0.0051529,-0.0059973,0.0078812,-0.013908
"Com_10591_pos",-0.0049489,0.016294,-0.034386,0.040656,0.0046174,-0.022084,0.016613,-0.024396
"Com_10593_pos",-0.020039,0.019713,-0.02194,0.040306,-0.017149,-0.014169,-0.014072,0.013176
"Com_10594_pos",0.0052398,-0.035065,-0.001507,0.012244,0.01319,-0.01547,-0.0086394,-0.024779
"Com_10595_pos",-0.0032375,-0.032341,0.0022106,-0.0020523,0.025812,0.024235,0.0085451,-0.037323
"Com_10596_pos",-0.02047,0.03453,-0.028022,-0.014136,-0.0095402,-0.026384,0.0015938,-0.023665
"Com_10600_pos",0.0054584,-0.018972,0.015077,0.03934,-0.012565,0.0069661,-0.020757,0.025685
"Com_10601_pos",0.036561,-0.025611,0.011158,-0.012607,-0.00093397,-0.020816,-0.020976,-0.0051718
"Com_10606_pos",-0.02164,0.029222,-0.033967,0.033793,-0.0098194,-0.0018579,-0.020161,0.010508
"Com_10609_pos",-0.014043,-0.011706,0.013057,-0.0081191,-0.02189,-0.00095496,-0.0015926,0.0037105
"Com_10617_pos",-0.027336,0.030153,0.012175,0.0024068,-0.03672,0.036585,-0.00066656,-0.0022011
"Com_10618_pos",-0.019145,0.031408,0.0087375,-0.0012543,0.010893,-0.0087181,0.025578,-0.027709
"Com_1063_pos",0.030523,0.0017763,-0.022694,0.0074345,-0.032152,0.038946,-0.024991,0.037517
"Com_10641_pos",0.00062743,0.0040081,0.03209,0.029103,0.003029,-0.014471,0.028281,0.010462
"Com_10643_pos",-0.02782,0.02639,-0.021326,0.0089941,-0.025907,0.030684,0.0049727,0.0050102
"Com_10645_pos",0.024149,-0.028671,0.024612,0.0133,-0.012839,-0.0090636,0.040843,-0.0064746
"Com_1064_pos",-0.0080456,-0.025823,-0.019261,0.023814,-0.0027855,-0.016385,0.025609,-0.020362
"Com_10652_pos",-0.011454,0.014068,-0.014762,0.036842,0.023321,-0.034191,0.016846,0.015161
"Com_10655_pos",-0.021267,0.010809,-0.02794,0.047461,-0.020402,0.012593,0.00092979,0.012908
"Com_10662_pos",0.01183,-0.013597,0.03083,-0.0034976,0.0013627,-0.01281,-0.016496,-0.0059937
"Com_10667_pos",-0.039641,-0.0072379,0.013725,0.013215,-0.019164,0.03444,-0.038479,0.00052315
"Com_10680_pos",-0.027677,0.031432,0.01305,-0.01678,-0.026389,0.039313,-0.014922,0.00098744
"Com_10706_pos",-0.0284,0.00037642,0.026124,0.0047217,0.015431,0.013964,0.018564,-0.021307
"Com_10718_pos",-0.017778,0.036725,-0.011553,0.0025092,0.023476,-0.026663,0.037864,-0.0051115
"Com_10721_pos",0.034737,-0.017424,-0.039465,0.024503,0.023592,-0.0092762,-0.0025109,-0.0066316
"Com_10746_pos",-0.0086521,0.014832,-0.055227,0.01683,0.0051377,0.021511,-0.043924,-0.0058282
"Com_10760_pos",0.015575,-0.0072775,0.031891,0.0019637,-0.012337,-0.013997,-0.0040304,-0.0023998
"Com_1078_pos",-0.03942,0.022893,-0.0023951,-0.013293,0.024035,-0.021966,0.0098996,-0.013525
"Com_10792_pos",-0.0075601,0.010319,-0.034352,0.022967,0.024761,-0.0011139,3.6277e-05,-0.031643
"Com_10799_pos",0.028589,-0.021036,0.019231,0.010276,-0.025962,0.0049789,-0.0058998,0.028413
"Com_10806_pos",-0.00854,0.0087043,-0.0070314,0.027603,-0.030358,-0.0054614,0.037337,-0.032939
"Com_10808_pos",-0.031248,0.02662,-0.023515,0.014996,0.015946,-0.029164,-0.016728,0.016375
"Com_10812_pos",0.02369,-0.023542,-0.01562,0.035264,0.0085553,0.0040086,0.023897,-0.008205
"Com_10826_pos",-0.0087775,0.025048,-0.032787,0.038722,-0.017596,-0.013389,0.014764,-0.021293
"Com_10840_pos",0.0076628,0.028598,-0.045897,0.019285,-0.02429,0.030571,-0.0026433,-0.011939
"Com_10844_pos",-0.029558,0.016174,-0.011012,0.039592,-0.024652,-9.7749e-05,0.0061373,0.024177
"Com_1084_pos",-0.010509,0.035362,-0.017295,-0.011572,0.024166,-0.015427,0.0081517,-0.011758
"Com_10853_pos",-0.042586,0.0082905,-0.029167,0.024332,-0.0052392,-0.014537,-0.0069055,0.0034134
"Com_10872_pos",-0.003196,-0.036557,1.7557e-06,0.01957,0.021864,-0.013573,0.017924,-0.014257
"Com_10874_pos",0.022774,-0.0097431,0.017041,0.014151,0.050217,-0.025271,-0.013289,-0.019109
"Com_108_pos",-0.022461,-0.017252,0.019352,-0.0053784,-0.015843,-0.010151,0.025593,-0.019229
"Com_1090_pos",-0.015424,-0.0064196,-0.0063935,0.020082,-0.041722,0.033992,-0.036229,0.0074258
"Com_10936_pos",-0.030855,0.034357,-0.022395,-0.011513,-0.0062319,0.00097375,-0.0067187,-0.0092259
"Com_10958_pos",0.025064,0.0041753,-0.026802,0.036689,0.011251,-0.019628,-0.019118,-0.0037273
"Com_1095_pos",-0.0042009,-0.013976,-0.0045396,0.011783,-0.015966,0.036514,-0.012854,-0.0074939
"Com_1100_pos",0.042699,-0.023041,-0.013236,0.016875,0.0044771,-0.030984,0.010569,-0.012726
"Com_11016_pos",-0.0021889,-0.006951,0.0377,-0.0024798,-0.0044446,-0.026687,0.0043566,-0.0029021
