"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"pos_C_6_0",-8.8148,-24.143,4.4155,-8.997,0.6786,-5.1322,10.647,-3.082
"pos_C_6_2",-10.868,-23.667,13.539,-15.614,0.89423,-8.7138,3.3444,-3.5605
"pos_C_6_3",-15.12,-15.676,11.511,-10.301,13.341,5.5841,-10.224,-10.571
"pos_C_7_0",-15.201,-4.2403,-1.4796,-2.9264,-0.49777,0.92432,6.5624,-4.7471
"pos_C_7_2",-20.182,-1.629,5.5591,12.18,0.47704,-10.155,5.5326,11.553
"pos_C_7_3",-19.726,0.65738,8.9382,-9.1245,-4.4816,22.994,-7.9312,-1.0094
"pos_C_7_4",-20.424,26.118,-9.2753,-16.309,-22.965,-2.6232,3.0713,8.6075
"pos_C_8_0",-9.695,-8.8237,-19.611,15.159,0.85971,-8.6529,-2.8609,0.12168
"pos_C_8_2",-7.307,-10.834,-19.59,10.379,-6.0887,-12.741,-19.285,-11.094
"pos_C_8_4",-9.3588,-11.583,-20.711,7.852,12.341,16.573,10.445,13.593
"pos_H_1_4",25.303,-18.817,1.325,-5.8357,-9.0568,8.5379,8.6757,-3.1486
"pos_H_2_0",19.611,19.243,-20.004,-22.075,0.53759,-2.6376,7.9456,-18.7
"pos_H_3_1",6.8289,19.244,11.105,-0.79669,5.332,-13.484,1.2859,11.144
"pos_H_3_2",13.72,16.044,-1.8554,-18.221,16.044,-15.677,-2.8854,10.144
"pos_H_4_0",8.3545,0.15101,18.055,32.382,-6.0975,-8.9643,-3.6099,-4.8461
"pos_H_4_3",3.7315,23.375,-1.8667,25.788,24.817,9.7064,2.858,-6.3473
"pos_H_5_1",22.92,-8.9844,-7.8578,10.786,-12.834,10.715,-12.628,12.427
"pos_H_5_2",23.394,-15.595,7.131,-21.311,6.2435,3.8254,-10.942,8.7167
"pos_H_5_3",16.457,-7.9479,8.0826,18.022,-12.994,0.70464,13.894,-4.3953
"pos_H_5_4",-3.6258,47.108,12.591,-1.0389,-6.5487,9.2166,-3.8945,-4.8048
