"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"Com_10034_pos",0.82091,0.84005,0.83577,0.83146,0.83304
"Com_10039_pos",0.52601,0.60162,0.58672,0.58501,0.58473
"Com_10045_pos",1.1739,1.1314,1.1064,1.1036,1.104
"Com_10088_pos",0.82221,0.78417,0.88213,0.8769,0.87595
"Com_10090_pos",1.7276,1.6159,1.577,1.569,1.5676
"Com_10098_pos",0.60991,0.55656,0.73787,0.73535,0.73736
"Com_10109_pos",0.14562,0.63565,0.62131,0.63157,0.6321
"Com_10111_pos",0.66155,0.61787,0.60311,0.5993,0.59989
"Com_10114_pos",0.032343,0.17571,0.32426,0.38064,0.39589
"Com_10124_pos",1.032,0.95115,1.0512,1.0482,1.0473
"Com_10129_pos",0.7031,0.70242,0.6885,0.69592,0.69522
"Com_1012_pos",0.40757,0.56258,0.61248,0.60855,0.60967
"Com_10132_pos",0.061263,0.17687,0.4268,0.42691,0.43653
"Com_10143_pos",0.26586,0.37709,0.36923,0.43429,0.43498
"Com_1014_pos",0.22481,0.29473,0.34179,0.35065,0.35157
"Com_10164_pos",0.49996,0.54435,0.60599,0.60799,0.60998
"Com_10167_pos",2.0997,1.9163,1.9311,1.9191,1.9167
"Com_10169_pos",0.55553,0.5696,0.56257,0.56193,0.56531
"Com_10173_pos",1.2999,1.2645,1.2473,1.2395,1.2379
"Com_10184_pos",0.40229,0.40699,0.51421,0.53914,0.54127
"Com_1019_pos",0.68253,0.68434,0.73248,0.72957,0.73262
"Com_10204_pos",0.54943,0.66243,0.66876,0.66957,0.6688
"Com_10210_pos",0.43963,0.53359,0.52034,0.51898,0.51843
"Com_10219_pos",0.21738,0.39381,0.46221,0.45918,0.46457
"Com_1022_pos",0.21112,0.52078,0.50912,0.51765,0.52714
"Com_10241_pos",0.26181,0.91647,0.89407,0.89126,0.89014
"Com_10243_pos",0.041022,0.69853,0.68437,0.68692,0.68609
"Com_10271_pos",0.80154,0.7746,0.75657,0.75314,0.75221
"Com_1028_pos",0.72101,0.65835,0.6775,0.68866,0.69041
"Com_10296_pos",1.0202,0.95289,1.1171,1.1099,1.1085
"Com_10299_pos",0.03267,0.45567,0.47486,0.47254,0.48385
"Com_102_pos",0.0002098,0.47944,0.48603,0.5253,0.5272
"Com_10300_pos",1.2846,1.3829,1.4047,1.397,1.3978
"Com_1030_pos",2.024,1.8652,1.8188,1.8098,1.8095
"Com_10310_pos",0.64736,0.61274,0.61025,0.62456,0.62613
"Com_10312_pos",1.0033,0.97641,0.95506,0.95915,0.95797
"Com_10314_pos",1.0808,1.0419,1.0227,1.0198,1.0185
"Com_10328_pos",1.0002,1.0345,1.0162,1.0149,1.014
"Com_10333_pos",0.80043,0.76968,0.83239,0.82716,0.82623
"Com_1034_pos",1.6425,1.5396,1.5013,1.4916,1.4897
"Com_10354_pos",0.19194,0.59921,0.65695,0.69033,0.68953
"Com_10374_pos",0.99064,1.1334,1.1063,1.0991,1.0977
"Com_10386_pos",1.9527,1.8106,1.7652,1.7551,1.7529
"Com_10396_pos",1.1083,1.0354,1.01,1.0276,1.0317
"Com_103_pos",1.6095,1.5217,1.4887,1.4793,1.4775
"Com_10401_pos",0.56785,0.60023,0.58533,0.60418,0.60697
"Com_10406_pos",0.49075,0.5027,0.50412,0.51163,0.51775
"Com_10408_pos",0.71542,0.73148,0.72642,0.72746,0.73016
"Com_10415_pos",0.58692,0.61649,0.72247,0.71875,0.7181
"Com_10436_pos",1.4939,1.4515,1.4152,1.4062,1.4049
"Com_10450_pos",0.022674,0.28895,0.31225,0.31303,0.31371
"Com_1045_pos",2.0004,1.9437,1.903,1.8908,1.8884
"Com_10465_pos",0.33459,0.57671,0.65032,0.6521,0.65203
"Com_10478_pos",1.028,0.94269,0.92896,0.9248,0.92365
"Com_10480_pos",1.1935,1.0965,1.0692,1.0724,1.0717
"Com_10485_pos",1.6034,1.4797,1.4867,1.479,1.4778
"Com_10500_pos",0.7141,0.65415,0.64022,0.68551,0.69071
"Com_10501_pos",1.9727,1.8126,1.7817,1.7702,1.7679
"Com_10502_pos",1.2511,1.1551,1.1566,1.1494,1.1481
"Com_10505_pos",0.63707,0.7904,0.77071,0.76856,0.77035
"Com_10510_pos",0.1307,0.81851,0.79838,0.79423,0.79359
"Com_10523_pos",0.77286,0.77564,0.80933,0.80417,0.80323
"Com_10539_pos",0.21223,0.51319,0.53878,0.55019,0.5495
"Com_10541_pos",0.22831,0.71061,0.69505,0.69196,0.69433
"Com_10543_pos",1.5811,1.442,1.4434,1.434,1.4333
"Com_10557_pos",0.88158,1.0287,1.0813,1.0926,1.0913
"Com_10567_pos",0.28523,0.59928,0.64994,0.64572,0.6467
"Com_10571_pos",0.58094,0.63989,0.62399,0.63022,0.63124
"Com_1057_pos",1.3352,1.2387,1.2095,1.2025,1.2012
"Com_10580_pos",0.053933,0.53251,0.53168,0.5532,0.55258
"Com_10591_pos",0.11787,0.30063,0.30627,0.38326,0.38281
"Com_10593_pos",0.47813,0.59933,0.58429,0.61153,0.61371
"Com_10594_pos",0.61891,0.87803,0.86059,0.85886,0.85792
"Com_10595_pos",0.97601,1.0826,1.0591,1.0533,1.0555
"Com_10596_pos",0.50384,0.61468,0.76057,0.7646,0.76526
"Com_10600_pos",0.14162,0.16541,0.46747,0.50882,0.50907
"Com_10601_pos",1.1621,1.185,1.1553,1.1514,1.1503
"Com_10606_pos",0.43864,0.64268,0.6467,0.66563,0.66557
"Com_10609_pos",1.0044,0.94211,0.91919,0.91726,0.91783
"Com_10617_pos",0.47357,0.81959,0.8054,0.80062,0.80191
"Com_10618_pos",0.01185,0.73083,0.72141,0.71675,0.71632
"Com_1063_pos",1.3845,1.2691,1.2618,1.2535,1.253
