"","V","p.value","-log10(p)","FDR"
"Com_10034_pos",33,0.21756,0.66242,0.70646
"Com_10039_pos",43,0.63053,0.20029,0.91112
"Com_10045_pos",63,0.35268,0.45262,0.793
"Com_10088_pos",45,0.73936,0.13114,0.94633
"Com_10090_pos",77,0.043257,1.3639,0.4356
"Com_10098_pos",41,0.52885,0.27667,0.86844
"Com_10109_pos",54,0.79594,0.099122,0.97073
"Com_10111_pos",45,0.73936,0.13114,0.94633
"Com_10114_pos",51,0.97051,0.012999,0.99948
"Com_10124_pos",30,0.14314,0.84424,0.63324
"Com_10129_pos",65,0.27986,0.55306,0.73906
"Com_1012_pos",58,0.57874,0.23752,0.88784
"Com_10132_pos",55,0.73936,0.13114,0.94633
"Com_10143_pos",52,0.9118,0.040102,0.99065
"Com_1014_pos",44,0.68421,0.16481,0.92418
"Com_10164_pos",54,0.79594,0.099122,0.97073
"Com_10167_pos",88,0.0028795,2.5407,0.1656
"Com_10169_pos",67,0.21756,0.66242,0.70646
"Com_10173_pos",69,0.16549,0.78122,0.65589
"Com_10184_pos",53,0.85343,0.068833,0.98294
"Com_1019_pos",40,0.48125,0.31763,0.85132
"Com_10204_pos",48,0.9118,0.040102,0.99065
"Com_10210_pos",49,0.97051,0.012999,0.99948
"Com_10219_pos",52,0.9118,0.040102,0.99065
"Com_1022_pos",53,0.85343,0.068833,0.98294
"Com_10241_pos",52,0.9118,0.040102,0.99065
"Com_10243_pos",47,0.85343,0.068833,0.98294
"Com_10271_pos",48,0.9118,0.040102,0.99065
"Com_1028_pos",62,0.39305,0.40555,0.79969
"Com_10296_pos",62,0.39305,0.40555,0.79969
"Com_10299_pos",43,0.63053,0.20029,0.91112
"Com_102_pos",54,0.79594,0.099122,0.97073
"Com_10300_pos",36,0.315,0.50169,0.76474
"Com_1030_pos",85,0.0068415,2.1649,0.25294
"Com_10310_pos",63,0.35268,0.45262,0.793
"Com_10312_pos",40,0.48125,0.31763,0.85132
"Com_10314_pos",80,0.023231,1.6339,0.35365
"Com_10328_pos",30,0.14314,0.84424,0.63324
"Com_10333_pos",57,0.63053,0.20029,0.91112
"Com_1034_pos",24,0.052426,1.2805,0.46149
"Com_10354_pos",43,0.63053,0.20029,0.91112
"Com_10374_pos",61,0.43587,0.36064,0.83189
"Com_10386_pos",82,0.01469,1.833,0.3287
"Com_10396_pos",63,0.35268,0.45262,0.793
"Com_103_pos",76,0.052426,1.2805,0.46149
"Com_10401_pos",61,0.43587,0.36064,0.83189
"Com_10406_pos",48,0.9118,0.040102,0.99065
"Com_10408_pos",34,0.24745,0.60651,0.71394
"Com_10415_pos",59,0.52885,0.27667,0.86844
"Com_10436_pos",29,0.12301,0.91008,0.59614
"Com_10450_pos",49,0.97051,0.012999,0.99948
"Com_1045_pos",79,0.028806,1.5405,0.38035
"Com_10465_pos",51,0.97051,0.012999,0.99948
"Com_10478_pos",72,0.10512,0.9783,0.55409
"Com_10480_pos",68,0.19032,0.72052,0.68218
"Com_10485_pos",74,0.075256,1.1235,0.50326
"Com_10500_pos",40,0.48125,0.31763,0.85132
"Com_10501_pos",80,0.023231,1.6339,0.35365
"Com_10502_pos",70,0.14314,0.84424,0.63324
"Com_10505_pos",44,0.68421,0.16481,0.92418
"Com_10510_pos",33,0.21756,0.66242,0.70646
"Com_10523_pos",66,0.24745,0.60651,0.71394
"Com_10539_pos",62,0.39305,0.40555,0.79969
"Com_10541_pos",55,0.73936,0.13114,0.94633
"Com_10543_pos",20,0.023231,1.6339,0.35365
"Com_10557_pos",63,0.35268,0.45262,0.793
"Com_10567_pos",46,0.79594,0.099122,0.97073
"Com_10571_pos",34,0.24745,0.60651,0.71394
"Com_1057_pos",28,0.10512,0.9783,0.55409
"Com_10580_pos",52,0.9118,0.040102,0.99065
"Com_10591_pos",47,0.85343,0.068833,0.98294
"Com_10593_pos",57,0.63053,0.20029,0.91112
"Com_10594_pos",60,0.48125,0.31763,0.85132
"Com_10595_pos",66,0.24745,0.60651,0.71394
"Com_10596_pos",59,0.52885,0.27667,0.86844
"Com_10600_pos",52,0.9118,0.040102,0.99065
"Com_10601_pos",35,0.27986,0.55306,0.73906
"Com_10606_pos",59,0.52885,0.27667,0.86844
"Com_10609_pos",69,0.16549,0.78122,0.65589
"Com_10617_pos",51,0.97051,0.012999,0.99948
"Com_10618_pos",49,0.97051,0.012999,0.99948
"Com_1063_pos",23,0.043257,1.3639,0.4356
"Com_10641_pos",39,0.43587,0.36064,0.83189
"Com_10643_pos",62,0.39305,0.40555,0.79969
"Com_10645_pos",39,0.43587,0.36064,0.83189
"Com_1064_pos",72,0.10512,0.9783,0.55409
"Com_10652_pos",53,0.85343,0.068833,0.98294
"Com_10655_pos",62,0.39305,0.40555,0.79969
"Com_10662_pos",62,0.39305,0.40555,0.79969
"Com_10667_pos",85,0.0068415,2.1649,0.25294
"Com_10680_pos",54,0.79594,0.099122,0.97073
"Com_10706_pos",63,0.35268,0.45262,0.793
"Com_10718_pos",46,0.79594,0.099122,0.97073
"Com_10721_pos",37,0.35268,0.45262,0.793
"Com_10746_pos",57,0.63053,0.20029,0.91112
"Com_10760_pos",44,0.68421,0.16481,0.92418
"Com_1078_pos",67,0.21756,0.66242,0.70646
"Com_10792_pos",52,0.9118,0.040102,0.99065
"Com_10799_pos",39,0.43587,0.36064,0.83189
"Com_10806_pos",59,0.52885,0.27667,0.86844
"Com_10808_pos",60,0.48125,0.31763,0.85132
"Com_10812_pos",35,0.27986,0.55306,0.73906
"Com_10826_pos",44,0.68421,0.16481,0.92418
"Com_10840_pos",37,0.35268,0.45262,0.793
"Com_10844_pos",64,0.315,0.50169,0.76474
"Com_1084_pos",48,0.9118,0.040102,0.99065
"Com_10853_pos",84,0.0089307,2.0491,0.28886
"Com_10872_pos",71,0.12301,0.91008,0.59614
"Com_10874_pos",36,0.315,0.50169,0.76474
"Com_108_pos",72,0.10512,0.9783,0.55409
"Com_1090_pos",70,0.14314,0.84424,0.63324
"Com_10936_pos",66,0.24745,0.60651,0.71394
"Com_10958_pos",27,0.08921,1.0496,0.52234
"Com_1095_pos",57,0.63053,0.20029,0.91112
"Com_1100_pos",23,0.043257,1.3639,0.4356
"Com_11016_pos",47,0.85343,0.068833,0.98294
"Com_11018_pos",24,0.052426,1.2805,0.46149
"Com_1102_pos",23,0.043257,1.3639,0.4356
"Com_11039_pos",79,0.028806,1.5405,0.38035
"Com_1103_pos",47,0.85343,0.068833,0.98294
"Com_11044_pos",68,0.19032,0.72052,0.68218
"Com_11057_pos",64,0.315,0.50169,0.76474
"Com_11072_pos",50,1,0,1
"Com_11075_pos",59,0.52885,0.27667,0.86844
"Com_11099_pos",50,1,0,1
"Com_11104_pos",59,0.52885,0.27667,0.86844
"Com_11132_pos",24,0.052426,1.2805,0.46149
"Com_11136_pos",58,0.57874,0.23752,0.88784
"Com_11140_pos",67,0.21756,0.66242,0.70646
"Com_11144_pos",53,0.85343,0.068833,0.98294
"Com_11149_pos",58,0.57874,0.23752,0.88784
"Com_11150_pos",38,0.39305,0.40555,0.79969
"Com_11157_pos",55,0.73936,0.13114,0.94633
"Com_11163_pos",68,0.19032,0.72052,0.68218
"Com_11169_pos",71,0.12301,0.91008,0.59614
"Com_1116_pos",54,0.79594,0.099122,0.97073
"Com_11185_pos",60,0.48125,0.31763,0.85132
"Com_11204_pos",42,0.57874,0.23752,0.88784
"Com_11206_pos",77,0.043257,1.3639,0.4356
"Com_1120_pos",36,0.315,0.50169,0.76474
"Com_11234_pos",62,0.39305,0.40555,0.79969
"Com_11236_pos",56,0.68421,0.16481,0.92418
"Com_11240_pos",65,0.27986,0.55306,0.73906
"Com_11243_pos",68,0.19032,0.72052,0.68218
"Com_11274_pos",51,0.97051,0.012999,0.99948
"Com_11277_pos",68,0.19032,0.72052,0.68218
"Com_11284_pos",52,0.9118,0.040102,0.99065
"Com_11304_pos",44,0.68421,0.16481,0.92418
"Com_1130_pos",51,0.97051,0.012999,0.99948
"Com_11310_pos",58,0.57874,0.23752,0.88784
"Com_11319_pos",75,0.063013,1.2006,0.4868
"Com_11321_pos",20,0.023231,1.6339,0.35365
"Com_11336_pos",48,0.9118,0.040102,0.99065
"Com_11340_pos",66,0.24745,0.60651,0.71394
"Com_1136_pos",56,0.68421,0.16481,0.92418
"Com_11378_pos",83,0.011496,1.9394,0.28886
"Com_11403_pos",60,0.48125,0.31763,0.85132
"Com_11416_pos",55,0.73936,0.13114,0.94633
"Com_11424_pos",41,0.52885,0.27667,0.86844
"Com_11441_pos",59,0.52885,0.27667,0.86844
"Com_11445_pos",55,0.73936,0.13114,0.94633
"Com_11468_pos",62,0.39305,0.40555,0.79969
"Com_11470_pos",50,1,0,1
"Com_11487_pos",57,0.63053,0.20029,0.91112
"Com_11495_pos",85,0.0068415,2.1649,0.25294
"Com_1149_pos",17,0.011496,1.9394,0.28886
"Com_1151_pos",74,0.075256,1.1235,0.50326
"Com_11527_pos",55,0.73936,0.13114,0.94633
"Com_11531_pos",55,0.73936,0.13114,0.94633
"Com_11536_pos",57,0.63053,0.20029,0.91112
"Com_11538_pos",51,0.97051,0.012999,0.99948
"Com_1154_pos",26,0.075256,1.1235,0.50326
"Com_1155_pos",55,0.73936,0.13114,0.94633
"Com_11579_pos",48,0.9118,0.040102,0.99065
"Com_11580_pos",33,0.21756,0.66242,0.70646
"Com_11608_pos",62,0.39305,0.40555,0.79969
"Com_11643_pos",31,0.16549,0.78122,0.65589
"Com_1166_pos",37,0.35268,0.45262,0.793
"Com_1168_pos",29,0.12301,0.91008,0.59614
"Com_116_pos",60,0.48125,0.31763,0.85132
"Com_11700_pos",52,0.9118,0.040102,0.99065
"Com_11720_pos",76,0.052426,1.2805,0.46149
"Com_11722_pos",67,0.21756,0.66242,0.70646
"Com_11724_pos",70,0.14314,0.84424,0.63324
"Com_11737_pos",44,0.68421,0.16481,0.92418
"Com_11739_pos",35,0.27986,0.55306,0.73906
"Com_11770_pos",41,0.52885,0.27667,0.86844
"Com_11776_pos",57,0.63053,0.20029,0.91112
"Com_11781_pos",52,0.9118,0.040102,0.99065
"Com_11782_pos",70,0.14314,0.84424,0.63324
"Com_11783_pos",51,0.97051,0.012999,0.99948
"Com_11789_pos",76,0.052426,1.2805,0.46149
"Com_1178_pos",65,0.27986,0.55306,0.73906
"Com_11794_pos",58,0.57874,0.23752,0.88784
"Com_1180_pos",66,0.24745,0.60651,0.71394
"Com_1181_pos",60,0.48125,0.31763,0.85132
"Com_1186_pos",81,0.018543,1.7318,0.3287
"Com_11877_pos",43,0.63053,0.20029,0.91112
"Com_11885_pos",76,0.052426,1.2805,0.46149
"Com_11892_pos",74,0.075256,1.1235,0.50326
"Com_11900_pos",46,0.79594,0.099122,0.97073
"Com_11908_pos",73,0.08921,1.0496,0.52234
"Com_11917_pos",66,0.24745,0.60651,0.71394
"Com_11922_pos",66,0.24745,0.60651,0.71394
"Com_1192_pos",50,1,0,1
"Com_11949_pos",29,0.12301,0.91008,0.59614
"Com_11962_pos",79,0.028806,1.5405,0.38035
"Com_11967_pos",36,0.315,0.50169,0.76474
"Com_11983_pos",63,0.35268,0.45262,0.793
"Com_1199_pos",65,0.27986,0.55306,0.73906
"Com_12000_pos",51,0.97051,0.012999,0.99948
"Com_12007_pos",45,0.73936,0.13114,0.94633
"Com_12011_pos",88,0.0028795,2.5407,0.1656
"Com_12019_pos",56,0.68421,0.16481,0.92418
"Com_1201_pos",51,0.97051,0.012999,0.99948
"Com_12040_pos",47,0.85343,0.068833,0.98294
"Com_12044_pos",56,0.68421,0.16481,0.92418
"Com_1204_pos",36,0.315,0.50169,0.76474
"Com_12073_pos",59,0.52885,0.27667,0.86844
"Com_12087_pos",55,0.73936,0.13114,0.94633
"Com_12090_pos",44,0.68421,0.16481,0.92418
"Com_12106_pos",25,0.063013,1.2006,0.4868
"Com_12109_pos",65,0.27986,0.55306,0.73906
"Com_12118_pos",17,0.011496,1.9394,0.28886
"Com_1211_pos",71,0.12301,0.91008,0.59614
"Com_12143_pos",64,0.315,0.50169,0.76474
"Com_1214_pos",40,0.48125,0.31763,0.85132
"Com_12153_pos",65,0.27986,0.55306,0.73906
"Com_12155_pos",58,0.57874,0.23752,0.88784
"Com_1216_pos",52,0.9118,0.040102,0.99065
"Com_12192_pos",92,0.00072528,3.1395,0.14439
"Com_121_pos",52,0.9118,0.040102,0.99065
"Com_12200_pos",35,0.27986,0.55306,0.73906
"Com_12206_pos",62,0.39305,0.40555,0.79969
"Com_12245_pos",42,0.57874,0.23752,0.88784
"Com_1224_pos",55,0.73936,0.13114,0.94633
"Com_12254_pos",48,0.9118,0.040102,0.99065
"Com_12255_pos",62,0.39305,0.40555,0.79969
"Com_12272_pos",34,0.24745,0.60651,0.71394
"Com_12279_pos",12,0.0028795,2.5407,0.1656
"Com_12290_pos",59,0.52885,0.27667,0.86844
"Com_12291_pos",32,0.19032,0.72052,0.68218
"Com_12294_pos",50,1,0,1
"Com_12303_pos",54,0.79594,0.099122,0.97073
"Com_12312_pos",47,0.85343,0.068833,0.98294
"Com_12313_pos",64,0.315,0.50169,0.76474
"Com_12321_pos",83,0.011496,1.9394,0.28886
"Com_12322_pos",51,0.97051,0.012999,0.99948
"Com_12330_pos",51,0.97051,0.012999,0.99948
"Com_12341_pos",56,0.68421,0.16481,0.92418
"Com_12351_pos",47,0.85343,0.068833,0.98294
"Com_12352_pos",67,0.21756,0.66242,0.70646
"Com_12368_pos",25,0.063013,1.2006,0.4868
"Com_1236_pos",53,0.85343,0.068833,0.98294
"Com_12372_pos",34,0.24745,0.60651,0.71394
"Com_1237_pos",35,0.27986,0.55306,0.73906
"Com_12381_pos",88,0.0028795,2.5407,0.1656
"Com_12384_pos",75,0.063013,1.2006,0.4868
"Com_12385_pos",52,0.9118,0.040102,0.99065
"Com_12398_pos",66,0.24745,0.60651,0.71394
"Com_12402_pos",60,0.48125,0.31763,0.85132
"Com_12410_pos",51,0.97051,0.012999,0.99948
"Com_12417_pos",38,0.39305,0.40555,0.79969
"Com_12429_pos",44,0.68421,0.16481,0.92418
"Com_1242_pos",54,0.79594,0.099122,0.97073
"Com_12440_pos",53,0.85343,0.068833,0.98294
"Com_12441_pos",47,0.85343,0.068833,0.98294
"Com_12448_pos",24,0.052426,1.2805,0.46149
"Com_12453_pos",50,1,0,1
"Com_12463_pos",40,0.48125,0.31763,0.85132
"Com_12472_pos",49,0.97051,0.012999,0.99948
"Com_1247_pos",43,0.63053,0.20029,0.91112
"Com_12489_pos",45,0.73936,0.13114,0.94633
